View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1830669,1,vupload,,190,,,480,360,0,1220005
1830673,1,vupload,,46,,,640,360,0,1220008
1953502,1,vupload,,2997,,,640,480,0,1220001
1830665,1,vupload,,120,,,640,360,0,1220002
1824679,1,vupload,,63,,,640,360,0,1220003
1830671,1,vupload,,226,,,640,360,0,1220007
1830879,1,vupload,  6月21日 亚服神牌猎人吊打棒子,4213,,,656,386,0,1220010
1830677,1,vupload,,2118,,,672,378,0,1220011
1830714,1,vupload,,437,,,680,384,0,1220020
1830729,1,vupload,,36,,,640,352,0,1220027
1830717,1,vupload,Polt(T) vs Scarlett(Z),3346,,,640,360,0,1220022
1830718,2,vupload,Polt(T) vs ILLUSION(T),1185,,,672,378,0,1220022
1830719,3,vupload,Scarlett(Z) vs Puck(P),2443,,,672,378,0,1220022
1830721,1,vupload,,33,,,202,360,0,1220023
1830731,1,vupload,,464,,,640,352,0,1220028
1830745,1,vupload,,1688,,,640,360,0,1220032
1830747,1,vupload,,419,,,640,360,0,1220038
6589652,1,vupload,,3218,,,0,0,0,1220035
1830777,1,vupload,1,6,,,360,360,0,1220052
1830778,2,vupload,P2,6,,,360,360,0,1220052
1830779,3,vupload,3p,5,,,360,360,0,1220052
1830780,4,vupload,P4,6,,,360,360,0,1220052
1830781,5,vupload,P5,6,,,360,360,0,1220052
1830782,6,vupload,P6,6,,,360,360,0,1220052
1830784,1,vupload,,1631,,,640,360,0,1220054
1830793,1,vupload,,1902,,,458,360,0,1220058
1830799,1,vupload,,217,,,640,400,0,1220064
1830828,1,vupload,,577,,,640,360,0,1220074
1830837,1,vupload,乐视云,383,,,640,360,0,1220077
1830914,2,vupload,优酷,383,,,640,360,0,1220077
1830838,1,vupload,再把黄浦江唤醒,2699,,,672,378,0,1220078
1830841,2,vupload,道江边散步去,2759,,,672,378,0,1220078
1830842,3,vupload,续写历史文化的长卷,2759,,,672,378,0,1220078
1832343,1,vupload,,229,,,640,360,0,1220076
1830561,1,vupload,,290,,,640,360,0,1220075
1830849,1,vupload,,126,,,640,360,0,1220081
