account,count,num,size,aid
4,3,1,3,1220005
10,10,1,3,1220008
146,115,1,3,1220001
5,5,1,3,1220002
1,1,1,3,1220003
6,6,1,3,1220007
0,0,1,3,1220010
1,1,1,3,1220011
3,3,1,3,1220020
1,1,1,3,1220027
42,23,1,3,1220022
5,3,1,3,1220023
5,4,1,3,1220028
21,9,1,3,1220032
23,16,1,3,1220038
17,7,1,3,1220035
0,0,1,3,1220052
2,2,1,3,1220054
8,5,1,3,1220058
2,2,1,3,1220064
0,0,1,3,1220074
2,2,1,3,1220077
2,2,1,3,1220078
15,14,1,3,1220076
23,16,1,3,1220075
0,0,1,3,1220081
1,1,1,3,1220084
21,21,1,3,1220088
9,9,1,3,1220098
7,8,1,3,1220091
3,3,1,3,1220096
7,7,1,3,1220102
4,4,1,3,1220100
1,1,1,3,1220107
0,0,1,3,1220110
342,168,1,3,1220113
4,2,1,3,1220117
0,0,1,3,1220111
9,6,1,3,1220112
6,6,1,3,1220123
0,0,1,3,1220121
25,25,1,3,1220122
1,2,1,3,1220124
0,0,1,3,1220128
5,5,1,3,1220130
0,0,1,3,1220134
10,8,1,3,1220131
4,3,1,3,1220133
0,0,1,3,1220147
0,0,1,3,1220150
3,2,1,3,1220152
0,0,1,3,1220153
6,6,1,3,1220165
2,2,1,3,1220168
15,12,1,3,1220167
2,2,1,3,1220161
1,1,1,3,1220178
361,309,1,3,1220177
6,5,1,3,1220172
0,0,1,3,1220180
5,2,1,3,1220187
36,27,1,3,1220186
3,3,1,3,1220197
38,29,1,3,1220205
5,3,1,3,1220212
7,6,1,3,1220218
16,15,1,3,1220213
27,15,1,3,1220211
0,0,1,3,1220228
1,1,1,3,1220227
7,7,1,3,1220226
3,1,1,3,1220225
4,2,1,3,1220223
0,0,1,3,1220236
191,90,1,3,1220246
0,0,1,3,1220242
16,12,1,3,1220248
0,0,1,3,1220256
5,1,1,3,1220265
3,3,1,3,1220267
76,41,1,3,1220262
0,0,1,3,1220275
2,1,1,3,1220276
0,0,1,3,1220272
0,0,1,3,1220278
3,3,1,3,1220282
0,0,1,3,1220287
0,0,1,3,1220281
3,2,1,3,1220291
4,3,1,3,1220297
3,3,1,3,1220294
7,7,1,3,1220293
0,0,1,3,1220308
8,5,1,3,1220306
6,6,1,3,1220303
1274,484,1,3,1220300
2,1,1,3,1220315
0,0,1,3,1220318
6,3,1,3,1220310
15,15,1,3,1220314
7,5,1,3,1220321
0,0,1,3,1220328
2,1,1,3,1220322
0,0,1,3,1220335
40,17,1,3,1220337
5,3,1,3,1220332
0,0,1,3,1220342
12,4,1,3,1220346
13,13,1,3,1220348
4,4,1,3,1220355
9,4,1,3,1220352
16,14,1,3,1220351
7,3,1,3,1220350
0,0,1,3,1220366
0,0,1,3,1220368
1,1,1,3,1220371
4,4,1,3,1220372
8,12,1,3,1220370
7,7,1,3,1220387
2,1,1,3,1220386
35,32,1,3,1220384
3,3,1,3,1220382
1,1,1,3,1220385
3,2,1,3,1220396
2,2,1,3,1220392
5,5,1,3,1220395
8,6,1,3,1220397
1,1,1,3,1220401
1,1,1,3,1220402
3,2,1,3,1220407
1,1,1,3,1220404
5,5,1,3,1220412
0,0,1,3,1220411
3,2,1,3,1220416
5,3,1,3,1220417
6,5,1,3,1220413
1,1,1,3,1220420
3,2,1,3,1220427
15,12,1,3,1220428
90,75,1,3,1220425
0,0,1,3,1220422
15,9,1,3,1220423
0,0,1,3,1220434
2,2,1,3,1220430
2,2,1,3,1220438
2,2,1,3,1220441
4,4,1,3,1220448
17,13,1,3,1220452
52,38,1,3,1220456
0,0,1,3,1220453
0,0,1,3,1220466
2,1,1,3,1220460
1,1,1,3,1220475
3,3,1,3,1220477
9,9,1,3,1220471
0,0,1,3,1220473
16,12,1,3,1220474
50,47,1,3,1220470
1,1,1,3,1220486
3,3,1,3,1220484
0,0,1,3,1220496
9,7,1,3,1220495
1,1,1,3,1220493
29,21,1,3,1220497
3,3,1,3,1220490
3,3,1,3,1220508
18,17,1,3,1220506
0,0,1,3,1220501
0,0,1,3,1220515
0,0,1,3,1220512
23,18,1,3,1220511
11,11,1,3,1220510
8,8,1,3,1220513
6,5,1,3,1220517
0,0,1,3,1220524
17,15,1,3,1220523
0,0,1,3,1220530
0,0,1,3,1220533
0,0,1,3,1220535
28,28,1,3,1220532
8,8,1,3,1220531
5,5,1,3,1220538
0,0,1,3,1220540
2,2,1,3,1220543
3,3,1,3,1220545
0,0,1,3,1220544
0,0,1,3,1220547
7,4,1,3,1220546
0,0,1,3,1220554
1,1,1,3,1220555
0,0,1,3,1220558
4,3,1,3,1220568
10,11,1,3,1220565
4,3,1,3,1220563
12,13,1,3,1220560
3,2,1,3,1220573
0,0,1,3,1220577
6,6,1,3,1220571
29,26,1,3,1220582
8,8,1,3,1220584
8,5,1,3,1220592
4,2,1,3,1220597
2,1,1,3,1220594
0,0,1,3,1220600
3,3,1,3,1220605
1,1,1,3,1220604
0,0,1,3,1220608
18,16,1,3,1220606
2,2,1,3,1220614
1,1,1,3,1220610
8,9,1,3,1220618
0,0,1,3,1220620
6,5,1,3,1220627
1,1,1,3,1220630
15,4,1,3,1220637
5,2,1,3,1220632
55,23,1,3,1220634
2,2,1,3,1220638
3,5,1,3,1220645
148,131,1,3,1220650
15,9,1,3,1220660
3,3,1,3,1220666
15,9,1,3,1220661
71,62,1,3,1220663
2,2,1,3,1220677
0,0,1,3,1220671
82,58,1,3,1220670
13,3,1,3,1220678
0,0,1,3,1220675
0,0,1,3,1220687
3,5,1,3,1220688
5,3,1,3,1220682
1,1,1,3,1220690
17,7,1,3,1220702
43,33,1,3,1220708
5,5,1,3,1220706
0,0,1,3,1220712
1,1,1,3,1220715
0,0,1,3,1220716
5,4,1,3,1220711
6,3,1,3,1220722
4,4,1,3,1220720
1,1,1,3,1220721
3,1,1,3,1220730
210,185,1,3,1220736
8,6,1,3,1220732
2,2,1,3,1220734
7,6,1,3,1220735
1,1,1,3,1220738
2,2,1,3,1220743
1,1,1,3,1220746
6,5,1,3,1220757
11,9,1,3,1220754
8,8,1,3,1220764
3,1,1,3,1220768
0,0,1,3,1220760
1,1,1,3,1220765
3,3,1,3,1220772
16,10,1,3,1220776
114,61,1,3,1220774
7,4,1,3,1220778
30,11,1,3,1220785
5,5,1,3,1220784
17,5,1,3,1220783
0,0,1,3,1220797
1,1,1,3,1220795
0,0,1,3,1220793
20,17,1,3,1220790
3,2,1,3,1220796
2,2,1,3,1220800
11,9,1,3,1220802
0,0,1,3,1220804
1,1,1,3,1220813
1,1,1,3,1220826
418,378,1,3,1220823
2,3,1,3,1220825
119,112,1,3,1220827
3,3,1,3,1220831
7,7,1,3,1220838
4,5,1,3,1220841
13,5,1,3,1220848
36,19,1,3,1220850
1,1,1,3,1220852
3,2,1,3,1220854
1,1,1,3,1220855
45,23,1,3,1220856
2,2,1,3,1220862
0,0,1,3,1220867
0,0,1,3,1220860
1,1,1,3,1220865
596,288,1,3,1220866
1,1,1,3,1220876
0,0,1,3,1220875
7,5,1,3,1220872
