related_video,aid
217491364,1220005
346178241,1220005
3248332,1220005
294684108,1220005
339862394,1220005
8374504,1220005
18526895,1220005
385603003,1220005
415413885,1220005
601599534,1220005
797638748,1220005
5608769,1220005
3128128,1220005
845443824,1220005
771230363,1220005
383989750,1220005
7337263,1220005
370522513,1220005
96188291,1220005
557532641,1220005
52920921,1220005
470837241,1220005
343584788,1220005
95377866,1220005
371664784,1220005
674582061,1220005
3252621,1220005
939888184,1220005
846104126,1220005
300416221,1220005
16842937,1220005
857539731,1220005
894661996,1220005
11853152,1220005
979642712,1220005
71926022,1220005
727691484,1220005
294032321,1220005
815105557,1220005
382147409,1220005
1198328,1220008
1571330,1220008
928241995,1220008
303867165,1220008
95336595,1220008
1039583,1220008
1624689,1220008
1316300,1220008
4223197,1220008
1697898,1220008
6342767,1220008
6242428,1220008
2394324,1220008
89302625,1220008
90835241,1220008
19327703,1220008
6685775,1220008
1458924,1220008
34222588,1220008
3616847,1220008
1713305,1220008
2766461,1220008
18096778,1220008
628560077,1220008
6225700,1220008
1524958,1220008
4568339,1220008
62859948,1220008
54114598,1220008
970924140,1220008
87429375,1220008
1229976,1220008
69071473,1220008
67827691,1220008
23007862,1220008
838242609,1220008
11926739,1220008
764467544,1220008
93668115,1220008
542127582,1220008
201984591,1220001
30562841,1220001
796942993,1220001
1674593,1220001
1078855,1220001
999850,1220001
42093539,1220001
3073110,1220001
1620453,1220001
764296,1220001
12852511,1220001
57971352,1220001
1866792,1220001
1168668,1220001
9967323,1220001
636950374,1220001
629900604,1220001
582696175,1220001
2114309,1220001
760405347,1220001
11906654,1220001
254458274,1220001
724042298,1220001
192955,1220001
375270,1220001
1969222,1220001
2547837,1220001
1756078,1220001
4023394,1220001
3359391,1220001
2088919,1220001
1900301,1220001
2092206,1220001
9142963,1220001
1477581,1220001
3030597,1220001
1178858,1220001
5657252,1220001
773256,1220001
1188579,1220001
1760839,1220002
753175910,1220002
754721978,1220002
7682111,1220002
5500633,1220002
857211571,1220002
502237121,1220002
929698305,1220002
1578959,1220002
60173894,1220002
66145045,1220002
981853088,1220002
1386896,1220002
677691762,1220002
59975719,1220002
1196765,1220002
4955317,1220002
1166360,1220002
845473283,1220002
1171764,1220002
21109332,1220002
1525276,1220002
356156,1220002
2785362,1220002
301240,1220002
93452423,1220002
32305310,1220002
897030,1220002
1189835,1220002
9650967,1220002
14570796,1220002
34172558,1220002
81519844,1220002
1100000,1220002
42040099,1220002
859365,1220002
66680540,1220002
1174393,1220002
839196808,1220002
31670,1220002
1164334,1220003
1388171,1220003
818048358,1220003
18208679,1220003
689914158,1220003
859856764,1220003
220563951,1220003
605665972,1220003
903028478,1220003
605516693,1220003
818116332,1220003
945551478,1220003
945535985,1220003
945573123,1220003
305580503,1220003
690556559,1220003
562450620,1220003
732726889,1220003
520564699,1220003
902996579,1220003
562011500,1220003
517666390,1220003
520083341,1220003
563128220,1220003
987045881,1220003
263205703,1220003
945568535,1220003
648093862,1220003
647971408,1220003
518041853,1220003
562169094,1220003
390503799,1220003
263066842,1220003
605566392,1220003
945506911,1220003
945619821,1220003
263066769,1220003
475530531,1220003
775231849,1220003
475526443,1220003
6739657,1220007
71982317,1220007
68507,1220007
