View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1533922,1,vupload,,111,,,640,360,0,1060007
1533918,1,vupload,,1603,,,466,360,0,1060003
1533920,1,vupload,,246,,,640,360,0,1060005
1533916,1,vupload,,1105,,,638,360,0,1060001
1533917,1,vupload,,106,,,640,360,0,1060002
1536025,1,vupload,,218,,,480,360,0,1060011
1533929,1,vupload,P1,2837,,,640,360,0,1060016
1533930,2,vupload,P2,3365,,,640,360,0,1060016
1533931,3,vupload,P3,1187,,,640,360,0,1060016
1533932,4,vupload,P4,2814,,,640,360,0,1060016
1533928,1,vupload,,100,,,480,360,0,1060014
1533935,1,vupload,,2159,,,512,288,0,1060018
1533945,1,vupload,,99,,,640,360,0,1060028
1533941,1,vupload,,1745,,,640,360,0,1060024
1533942,1,vupload,,175,,,640,360,0,1060025
1533940,1,vupload,,402,,,640,360,0,1060023
1533944,1,vupload,,91,,,640,360,0,1060027
1533954,1,vupload,,260,,,640,360,0,1060034
1533955,1,vupload,Xpis出品：英雄秀场-圣枪游侠卢锡安 杀你毫不费力！,276,,,638,360,0,1060035
1602261,2,vupload,九尾妖狐阿狸 请宠爱我吧！ ,212,,,638,360,0,1060035
1602262,3,vupload, 狂野女猎手奈德丽 你关不住我的， ,223,,,638,360,0,1060035
1602263,4,vupload, 刀锋意志艾瑞莉娅 恶必斩！ ,198,,,638,360,0,1060035
1602264,5,vupload,   暗影之拳阿卡丽 穿过暮光的帷幕！ ,213,,,638,360,0,1060035
1434795,6,vupload,傲之追猎者雷恩加尔 今晚，猎个痛快！ ,208,,,638,360,0,1060035
1430228,7,vupload, 暗夜猎手薇恩 我会让你死得很痛快！ ,193,,,638,360,0,1060035
2162695,8,vupload,探险家伊泽瑞尔 该出击了！,224,,,640,360,0,1060035
1533958,1,vupload,,0,,,1104,622,0,1060037
1533948,1,vupload,,70,,,640,360,0,1060030
1533952,1,vupload,,0,,,448,336,0,1060032
1533951,1,vupload,,171,,,720,480,0,1060031
1533857,1,vupload,,5816,,,480,360,0,1060044
1533964,1,vupload,,3449,,,600,450,0,1060045
1533969,1,vupload,,86,,,640,360,0,1060051
1533978,1,vupload,,22,,,600,360,0,1060058
1533976,1,vupload,,256,,,640,360,0,1060056
1533973,1,vupload,P2,2056,,,640,338,0,1060054
1533990,1,vupload,,252,,,320,240,0,1060068
1533988,1,vupload,,258,,,638,360,0,1060067
216491620,1,vupload,比赛规则以及相关说明,329,,,1920,1080,0,1060065
216498543,2,vupload,第一名：希腊 Yiannis Papadopoulos (超强技术流),128,,,1920,1080,0,1060065
216861931,3,vupload,第二名：法国 Leonardo Guzman （第一宇宙速度）,134,,,1920,1080,0,1060065
1534170,4,vupload,第三名：泰国 Aim Tanwa （最年轻参赛者）,136,,,640,360,0,1060065
216865479,5,vupload,中国 Boy Survival （风格独特）,130,,,1280,720,0,1060065
1551019,6,vupload,俄罗斯 Sergei Evsiutkin （木吉他狂魔）,123,,,490,360,0,1060065
216866830,7,vupload,德国 Frank Steffen Mueller （最有味道演奏）,140,,,1920,1080,0,1060065
216868898,8,vupload,日本 堀内大 （日系摇滚风）,130,,,960,720,0,1060065
216869807,9,vupload,中国 DoDoSpeedGT （真假难辨谢霆锋）,126,,,1920,1080,0,1060065
7380951,10,vupload,泰国 Nong（精准到发毛的泛音）,143,,,640,360,0,1060065
216871495,11,vupload,美国 Leandro Farias （最酷演奏）,133,,,1920,1080,0,1060065
216873517,12,vupload,泰国 แป๊ะ Syndrome (内附福利 自带微风的男人),134,,,1280,720,0,1060065
216873769,13,vupload,美国 Oliver Christian （足球员脸）,126,,,1920,1080,0,1060065
1535913,14,vupload,新加坡 Dhalif Ali （令人回味的旋律）,125,,,640,360,0,1060065
216874910,15,vupload,泰国 Nut （细听有妙处）,126,,,1920,1080,0,1060065
216877881,16,vupload,美国 Carlos Martin （密集的双音）,126,,,1280,720,0,1060065
216878183,17,vupload,印尼 Suhermanto Harsono （神奇的吴克）,126,,,1920,1080,0,1060065
1548753,18,vupload,美国 KarlosRock92 （琴看起来很叼）,139,,,640,360,0,1060065
216878730,19,vupload,印尼 Paul Indra （基本功扎实）,133,,,1920,1080,0,1060065
1550499,20,vupload,巴西 Prdro Miranda （成熟的气息）,136,,,640,360,0,1060065
216879992,21,vupload,法国 Cristián Barría（丧心病狂的音阶）,126,,,1920,1080,0,1060065
216885437,22,vupload,美国 Henky Backer （我有特别的演奏技巧）,130,,,1920,1080,0,1060065
1552028,23,vupload,美国 Akos Fazekas （空灵的音色）,125,,,640,360,0,1060065
216886548,24,vupload,美国 Josep Suller（奇艺技术）,133,,,1280,720,0,1060065
216886011,25,vupload,美国 Marcos Oliveira（出奇地平平）,125,,,1920,1080,0,1060065
7423392,26,vupload,印尼 KAMAJAYA（惊艳的开头）,130,,,640,360,0,1060065
7442416,27,vupload,西班牙 Adrián López（顽皮的高中生）,141,,,540,360,0,1060065
7442417,28,vupload,缅甸 ToeToeLinn（盲人艺术家）,263,,,320,240,0,1060065
7442418,29,vupload,日本 铃木裕太（难得的第二名日本选手）,134,,,640,360,0,1060065
7442419,30,vupload,西班牙 Felipe McEvoy（装逼如风常伴吾身）,125,,,640,360,0,1060065
7498172,31,vupload,俄罗斯 Dmitriy Zhirnov（神似Steve Vai）,127,,,640,360,0,1060065
7505747,32,vupload,波兰 Mikołaj Bogdański（Shoegazing）,131,,,640,360,0,1060065
7577631,33,vupload,芬兰 Samuli Federley（浓郁北欧风情）,123,,,480,272,0,1060065
7577632,34,vupload,泰国 Poramaz Kajhan（祖师爷级别的琴）,148,,,640,360,0,1060065
7577633,35,vupload,西班牙 José Fernando Ramírez Vélez（名字好长）,120,,,640,320,0,1060065
7577634,36,vupload,罗马尼亚 Bogdan Giurea（飘逸的长发）,123,,,640,360,0,1060065
7577635,37,vupload,美国 Katona Renáta（单纯为了看妹子）,135,,,480,360,0,1060065
7577636,38,vupload,葡萄牙 Improvisation（小伙子混响挺大的）,121,,,640,360,0,1060065
1533980,1,vupload,,278,,,636,360,0,1060061
1533987,1,vupload,,5041,,,638,360,0,1060066
186704977,1,vupload,THE IDOLM@STER 2 マリオネットの心 ~星井美希&如月千早&我那覇響_batch,136,,,1280,720,0,1060072
1533993,1,vupload,,213,,,640,480,0,1060071
1533997,1,vupload,4月12号 开场,174,,,638,360,0,1060074
1533998,2,vupload,4月12号 现场互动,416,,,638,360,0,1060074
1533999,3,vupload,赛后采访 WE草莓,290,,,638,360,0,1060074
1533992,1,vupload,,250,,,640,360,0,1060070
1534001,1,vupload,,166,,,640,480,0,1060076
1533996,1,vupload,,284,,,638,360,0,1060073
1534005,1,vupload,,91,,,640,360,0,1060080
1534008,1,vupload,,259,,,640,360,0,1060083
1534023,1,vupload,,121,,,640,360,0,1060094
1534022,1,vupload,,2957,,,448,336,0,1060093
1534021,1,vupload,,553,,,640,360,0,1060091
1534026,1,vupload,P1,397,,,640,360,0,1060097
7773794,1,vupload,,1450,,,640,360,0,1060105
1534033,1,vupload,,350,,,640,360,0,1060106
1534030,1,vupload,,282,,,640,360,0,1060103
1534047,1,vupload,【kazuya】東京テディベア　歌ってみた,193,,,640,360,0,1060118
1534048,2,vupload,【kazuya】世界灯罩,299,,,640,360,0,1060118
1534049,3,vupload,【kazuya-D-69】天ノ弱 歌ってみた ,191,,,600,360,0,1060118
1534050,4,vupload,【kazuya】桜の咲く頃 男性キーverを歌ってみた,312,,,640,360,0,1060118
1534051,5,vupload,【kazuya×朔～saku～】 magnet 男性キーVer,242,,,480,360,0,1060118
1534052,6,vupload,【kazuya】記憶の箱（合唱）,272,,,640,360,0,1060118
1534053,7,vupload,【kazuya】进化论,189,,,600,360,0,1060118
1534054,8,vupload,【kazuya】Acid　Black　Cherry,268,,,640,384,0,1060118
1534055,9,vupload,【kazuya】Paranoid Doll ,248,,,600,360,0,1060118
1534181,10,vupload,【kazuya】独我论 code:altered ,210,,,640,360,0,1060118
1534057,11,vupload,【kazuya】呼吸,256,,,480,360,0,1060118
1534058,12,vupload,【kazuya x うるる】おなじ話,220,,,480,360,0,1060118
1534059,13,vupload,【kazuya】magenta,284,,,600,360,0,1060118
1534038,1,vupload,,237,,,640,360,0,1060110
1534045,1,vupload,,377,,,640,360,0,1060116
1534063,1,vupload,,233,,,640,360,0,1060121
1534071,1,vupload,,2078,,,640,360,0,1060128
1534067,1,vupload,P2,666,,,640,360,0,1060123
1534084,1,vupload,上集,1065,,,638,360,0,1060136
1534085,2,vupload,下集,1126,,,638,360,0,1060136
1534083,1,vupload,,211,,,640,360,0,1060135
1534076,1,vupload,,391,,,562,360,0,1060132
1534093,1,vupload,,1183,,,480,360,0,1060144
1534092,1,vupload,,1635,,,480,360,0,1060143
1534095,1,vupload,,1457,,,636,360,0,1060147
1534060,1,vupload,,1573,,,672,378,0,1060145
1534094,1,vupload,,1537,,,640,360,0,1060146
1534099,1,vupload,,239,,,640,360,0,1060152
1534105,1,vupload,,252,,,640,360,0,1060158
1534097,1,vupload,,167,,,540,360,0,1060150
1534102,1,vupload,,2834,,,448,342,0,1060156
1534109,1,vupload,P0,258,,,638,360,0,1060162
1741337,2,vupload,火柴人,64,,,636,360,0,1060162
1534113,1,vupload,,114,,,638,360,0,1060167
1534110,1,vupload,,153,,,640,360,0,1060163
1534112,1,vupload,,608,,,640,360,0,1060165
1534133,1,vupload,,301,,,640,360,0,1060177
1534130,1,vupload,,287,,,480,360,0,1060174
1534128,1,vupload,,396,,,480,360,0,1060172
1534126,1,vupload,,360,,,640,360,0,1060171
1534125,1,vupload,,473,,,638,360,0,1060170
1534129,1,vupload,,3334,,,0,0,0,1060173
1534137,1,vupload,,2184,,,480,360,0,1060181
1534142,1,vupload,,266,,,512,384,0,1060185
1534140,1,vupload,,330,,,640,360,0,1060183
1534157,1,vupload,,131,,,512,288,0,1060198
1534150,1,vupload,,1888,,,640,360,0,1060191
1534155,1,vupload,,269,,,480,360,0,1060196
1534159,1,vupload,,177,,,640,360,0,1060200
1534160,1,vupload,,2515,,,400,376,0,1060201
1534167,1,vupload,,2302,,,400,376,0,1060206
1534180,1,vupload,,1810,,,638,360,0,1060217
1534176,1,vupload,,515,,,640,354,0,1060213
1564548,1,vupload,,221,,,480,360,0,1060218
1564531,1,vupload,,216,,,480,360,0,1060212
1534202,1,vupload,,581,,,638,360,0,1060223
1534216,1,vupload,,356,,,640,360,0,1060231
1534217,1,vupload,,216,,,640,360,0,1060232
1534221,1,vupload,,2585,,,480,360,0,1060235
1534218,1,vupload,,349,,,480,360,0,1060233
1534227,1,vupload,,578,,,640,360,0,1060242
1534225,1,vupload,,1908,,,460,360,0,1060240
1534500,1,vupload,,231,,,480,360,0,1060248
1534241,1,vupload,,1629,,,468,360,0,1060255
1534187,1,vupload,[Silver-SS] ＤＲＵＮＫ - 高杉 X 神威,25,,,640,360,0,1060251
1534188,2,vupload,More --高杉 X 神威,36,,,640,360,0,1060251
1534189,3,vupload,[Silver-SS] d e l u s i o n a l || HBD Nashii 【高杉 X 神威】,88,,,640,360,0,1060251
1534190,4,vupload,I&#39;m so lost -- 高杉 x 神威,66,,,640,360,0,1060251
1534191,5,vupload,A Dream--高杉 X 神威,80,,,640,360,0,1060251
1534192,6,vupload,You make me feel --高杉 X 神威,36,,,640,360,0,1060251
1534193,7,vupload,Vanilla twilight -- 高杉 x 神威,25,,,640,360,0,1060251
1534194,8,vupload,¤ Takamui ¤ my obsession -- preview--高杉 X 神威,32,,,640,360,0,1060251
1534195,9,vupload,【PA】_ Fade Out Again [高杉 X 神威],101,,,640,360,0,1060251
1534196,10,vupload,ｍｏｎｓｔｅｒｓ「ｍｙｔｒａｃｋ－８」【高杉 X 神威】,15,,,640,360,0,1060251
1534197,11,vupload,Panty &amp;amp; Stocking with Garterbelt--高杉 X 神威,70,,,640,360,0,1060251
1534198,12,vupload,Emptiness -高杉晋助,22,,,640,360,0,1060251
1534199,13,vupload,Kamui is a Killer--神威,7,,,640,360,0,1060251
1534200,14,vupload,{Kamui} _I Miss You Quite Terribly--神威,22,,,640,360,0,1060251
1534235,15,vupload,One way or another -- 高威+银桂,37,,,640,360,0,1060251
1534251,1,vupload,,204,,,854,480,0,1060253
1626432,1,vupload,,243,,,640,360,0,1060257
1534255,1,vupload,P1,1277,,,432,288,0,1060268
1534256,2,vupload,P2,1651,,,450,360,0,1060268
1534247,1,vupload,,313,,,640,360,0,1060261
1534258,1,vupload,P1,207,,,640,360,0,1060271
1534270,1,vupload,,14,,,640,360,0,1060270
1534272,1,vupload,,35,,,640,360,0,1060278
1534260,1,vupload,,64,,,640,360,0,1060273
1534271,1,vupload,1,112,,,640,360,0,1060277
1534883,2,vupload,2,114,,,640,360,0,1060277
1534274,1,vupload,,143,,,0,0,0,1060280
1534283,1,vupload,,90,,,376,288,0,1060290
1534284,1,vupload,黑水无尽【上】,1319,,,640,360,0,1060292
1534285,2,vupload,黑水无尽【下】,1323,,,1280,720,0,1060292
1534293,1,vupload,,203,,,640,310,0,1060304
1534296,1,vupload,,15,,,640,360,0,1060306
1534298,1,vupload,,619,,,640,360,0,1060308
1534106,1,vupload,,15,,,640,360,0,1060305
1534304,1,vupload,,954,,,496,294,0,1060316
1534303,1,vupload,,289,,,542,384,0,1060314
1534301,1,vupload,,117,,,640,360,0,1060312
1534310,1,vupload,,49,,,640,360,0,1060328
1534309,1,vupload,,284,,,640,360,0,1060327
1534307,1,vupload,,921,,,640,360,0,1060324
1534318,1,vupload,,228,,,640,360,0,1060332
1534321,1,vupload,,2431,,,1104,620,0,1060335
1534314,1,vupload,,115,,,634,360,0,1060331
3684173,1,vupload,,526,,,640,360,0,1060334
1534325,1,vupload,,824,,,640,360,0,1060340
1534346,1,vupload,P1,360,,,638,360,0,1060354
1534340,1,vupload,,0,,,1104,622,0,1060350
1534353,1,vupload,,2400,,,1104,622,0,1060360
1534366,1,vupload,,0,,,1104,624,0,1060364
1534373,1,vupload,,74,,,640,360,0,1060367
1534382,1,vupload,,1440,,,640,360,0,1060378
1534376,1,vupload,,525,,,640,360,0,1060370
1522297,1,vupload,,968,,,1920,1080,0,1060371
1534381,1,vupload,,253,,,638,360,0,1060377
1534401,1,vupload,1,458,,,638,360,0,1060388
1536935,2,vupload,2,384,,,638,360,0,1060388
1534397,1,vupload,,117,,,640,360,0,1060383
1557614,1,vupload,,254,,,540,360,0,1060394
1534405,1,vupload,,118,,,640,360,0,1060392
1534410,1,vupload,,667,,,540,360,0,1060397
1534415,1,vupload,,3283,,,526,360,0,1060402
