rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
12895098,1060003,1,3083813,0,0,0,1,1,3,0,0,0,1397356022,0,0,"{'message': 'UP主这样真的大丈夫吗？', 'plat': 0, 'device': ''}",,0,False,1060003
12891423,1060003,1,1613898,0,0,0,1,1,2,0,0,0,1397339466,0,0,"{'message': '虾米好快~', 'plat': 0, 'device': ''}",,0,False,1060003
12880432,1060003,1,2576307,0,0,0,1,1,1,0,0,0,1397313823,0,0,"{'message': '***~~up主注意身体啊~', 'plat': 0, 'device': ''}",,0,False,1060003
12892955,1060005,1,2393589,0,0,0,0,0,1,0,0,0,1397350507,0,0,"{'message': '日语老师教的第一首日语歌～', 'plat': 0, 'device': ''}",,0,False,1060005
12899601,1060001,1,423379,0,0,0,0,0,5,0,0,0,1397361667,1,0,"{'message': '流泪~250的灵魂也在哭泣\n我觉得流泪的原因不是配角卡得不到加强，而是作为本期的主角只在额外露了个脸，明明是很魂的卡组偏偏被UP你玩的那么竞技，就算是3000的魂也要哭啊_(:з」∠)_', 'plat': 0, 'device': ''}",,0,False,1060001
2046675870,1060001,1,121690031,0,0,0,0,0,9,0,0,0,1571635541,0,0,"{'message': '发现没杰克比海马讨喜别喷我是杰克粉😂', 'plat': 0, 'device': ''}",,0,False,1060001
12994673,1060001,1,1579089,0,0,0,0,0,8,0,0,0,1397642879,0,0,"{'message': '- -这歌叫啥。。', 'plat': 0, 'device': ''}",,0,False,1060001
76558712,1060002,1,8598882,0,0,0,0,0,4,0,0,0,1452410459,1,0,"{'message': '入圈的一支催泪频～', 'plat': 0, 'device': ''}",,0,False,1060002
43664430,1060002,1,3251600,0,0,0,0,0,3,0,0,0,1444147008,0,0,"{'message': '看不了了！', 'plat': 0, 'device': ''}",,0,False,1060002
19421828,1060002,1,4993760,0,0,0,0,0,2,0,0,0,1412167569,0,0,"{'message': '敢不敢不虐我千QAQ（/TДT)/', 'plat': 0, 'device': ''}",,0,False,1060002
12884014,1060011,1,282086,0,0,0,8,8,1,0,0,0,1397317894,7,0,"{'message': '这首歌算是我们保护方言人士的一个尝试吧。现在很多人觉得好像除了粤语闽语之类的就没法唱歌，或者觉得四川话之类的唱出来的歌都是歪唱，实际上是错误的观念。任何方言都可以依靠“倚声填词”，即根据方言特有声调改编曲调使之符合方言的抑扬顿挫，一样可以正常唱歌。这首歌就算是一首比较中规中矩的四川话改编歌曲（原改编歌曲为宜宾话）。希望各位喜欢，并且摒弃“方言不能唱歌”的观念(°∀°)ﾉ', 'plat': 0, 'device': ''}",,0,False,1060011
12885243,1060011,1,312786,0,0,0,0,0,2,0,0,0,1397319394,1,0,"{'message': '支持四川方言歌曲，爆刘继芬的神话还会继续', 'plat': 0, 'device': ''}",,0,False,1060011
16644501,1060011,1,48295,0,0,0,0,0,4,0,0,0,1406990907,0,0,"{'message': '(°∀°)搜索的时候突然找到这个，感觉好好听...', 'plat': 0, 'device': ''}",,0,False,1060011
41962362,1060016,1,2329127,0,0,0,0,0,10,0,0,0,1442813200,3,0,"{'message': '貌似是根据逆转裁判做的', 'plat': 0, 'device': ''}",,0,False,1060016
14745101,1060016,1,308817,0,0,0,0,0,9,0,0,0,1402580809,2,0,"{'message': '本人已通关 前来贺词ε=ε=(ノ≧∇≦)ノ', 'plat': 0, 'device': ''}",,0,False,1060016
14417429,1060016,1,8946,0,0,0,0,0,8,0,0,0,1401717107,1,0,"{'message': '谁有游戏下载啊', 'plat': 0, 'device': ''}",,0,False,1060016
