account,count,num,size,aid
0,0,1,3,1060007
6,3,1,3,1060003
1,1,1,3,1060005
10,9,1,3,1060001
4,5,1,3,1060002
14,4,1,3,1060011
11,11,1,3,1060016
1,1,1,3,1060014
2,2,1,3,1060018
0,0,1,3,1060028
2,2,1,3,1060024
11,8,1,3,1060025
12,11,1,3,1060023
33,25,1,3,1060027
2,1,1,3,1060034
5,3,1,3,1060035
15,13,1,3,1060037
0,0,1,3,1060030
2,2,1,3,1060032
0,0,1,3,1060031
904,867,1,3,1060044
108,94,1,3,1060045
2,2,1,3,1060051
0,0,1,3,1060058
8,8,1,3,1060056
0,0,1,3,1060054
9,7,1,3,1060068
2,1,1,3,1060067
139,84,1,3,1060065
3,3,1,3,1060061
9,8,1,3,1060066
6,4,1,3,1060072
1,1,1,3,1060071
16,13,1,3,1060074
36,29,1,3,1060070
2,1,1,3,1060076
4,2,1,3,1060073
7,6,1,3,1060080
0,0,1,3,1060083
18,17,1,3,1060094
2,2,1,3,1060093
29,18,1,3,1060091
56,43,1,3,1060097
692,641,1,3,1060105
1,1,1,3,1060106
6,2,1,3,1060103
15,12,1,3,1060118
2,2,1,3,1060110
8,5,1,3,1060116
2,2,1,3,1060121
4,3,1,3,1060128
0,0,1,3,1060123
89,70,1,3,1060136
9,7,1,3,1060135
10,6,1,3,1060132
2,2,1,3,1060144
3,3,1,3,1060143
3,3,1,3,1060147
3,3,1,3,1060145
3,4,1,3,1060146
0,0,1,3,1060152
8,8,1,3,1060158
0,0,1,3,1060150
9,4,1,3,1060156
4,4,1,3,1060162
2,2,1,3,1060167
3,3,1,3,1060163
17,16,1,3,1060165
2,2,1,3,1060177
138,97,1,3,1060174
3,5,1,3,1060172
1,1,1,3,1060171
0,0,1,3,1060170
5,5,1,3,1060173
0,0,1,3,1060181
9,4,1,3,1060185
4,3,1,3,1060183
34,31,1,3,1060198
8,6,1,3,1060191
6,4,1,3,1060196
12,6,1,3,1060200
2,2,1,3,1060201
