View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1445646,1,vupload,作业用,2356,,,640,480,0,1000007
1445647,2,vupload,BGM替换版辉针城Normal,1543,,,480,360,0,1000007
1445648,3,vupload,BGM替换版辉针城Extra,728,,,480,360,0,1000007
1452212,1,vupload,,571,,,640,360,0,1000014
1445653,1,vupload,,4593,,,1280,720,0,1000018
1445649,1,vupload,,2864,,,480,360,0,1000010
1445657,1,vupload,,129,,,640,360,0,1000021
1445660,1,vupload,,253,,,640,360,0,1000026
1445487,1,vupload,,632,,,640,360,0,1000024
1445658,1,vupload,,1105,,,0,0,0,1000022
1445662,1,vupload,,1518,,,448,336,0,1000030
1445671,1,vupload,,167,,,636,360,0,1000037
1445663,1,vupload,,1125,,,638,360,0,1000031
1445675,1,vupload,,228,,,640,360,0,1000038
1445681,1,vupload,,132,,,640,360,0,1000045
1445680,1,vupload,,237,,,640,360,0,1000044
1445683,1,vupload,,431,,,640,360,0,1000046
1445760,1,vupload,,177,,,854,360,0,1000048
1445684,1,vupload,,32,,,608,406,0,1000047
1445689,1,vupload,,172,,,640,360,0,1000053
1445691,1,vupload,,327,,,652,360,0,1000055
1445687,1,vupload,P1,1151,,,638,360,0,1000051
1445692,1,vupload,,1591,,,640,360,0,1000056
1445693,1,vupload,,100,,,352,288,0,1000057
1445696,1,vupload,,230,,,448,336,0,1000062
1445697,1,vupload,,2214,,,480,432,0,1000063
1445537,1,vupload,,658,,,640,360,0,1000068
1445706,1,vupload,,2094,,,638,360,0,1000073
1445707,1,vupload,,1615,,,640,360,0,1000074
1445704,1,vupload,,313,,,640,360,0,1000071
1445711,1,vupload,,3578,,,576,432,0,1000078
1445710,1,vupload,,1461,,,480,360,0,1000077
1445709,1,vupload,,3258,,,480,360,0,1000076
1445718,1,vupload,,6425,,,528,288,0,1000084
1445721,1,vupload,,340,,,640,360,0,1000087
1445717,1,vupload,,809,,,640,360,0,1000083
1445716,1,vupload,,1493,,,624,390,0,1000082
1445719,1,vupload,,269,,,640,360,0,1000085
1445714,1,vupload,,261,,,640,358,0,1000080
1445722,1,vupload,,28,,,512,288,0,1000088
1445726,1,vupload,,143,,,640,360,0,1000093
1445729,1,vupload,,179,,,640,360,0,1000097
1445735,1,vupload,,3601,,,512,288,0,1000103
1445736,1,vupload,,11,,,1024,768,0,1000104
1445734,1,vupload,,501,,,640,360,0,1000102
1445748,1,vupload,,1138,,,480,360,0,1000116
1445749,1,vupload,,111,,,640,360,0,1000117
1445746,1,vupload,,286,,,640,254,0,1000114
1445753,1,vupload,5-8决赛,5416,,,1280,720,0,1000120
1445754,2,vupload,1-4决赛,4051,,,1280,720,0,1000120
1445755,3,vupload,赛后友人,4448,,,1280,720,0,1000120
1445756,4,vupload,赠品：开幕式,797,,,1088,612,0,1000120
1445768,1,vupload,,867,,,638,360,0,1000126
1445780,1,vupload,,2571,,,1280,720,0,1000136
1445778,1,vupload,,3435,,,576,360,0,1000134
1445773,1,vupload,,213,,,1280,720,0,1000131
181508287,1,vupload,第一局,3363,,,1104,622,0,1000146
181509931,2,vupload,第二局,3428,,,1104,622,0,1000146
1445838,1,vupload,,238,,,450,360,0,1000148
1445831,1,vupload,北京欢迎你,192,,,464,360,0,1000141
1445832,2,vupload,我相信,91,,,470,360,0,1000141
1445786,1,vupload,044 It Takes Two to Mango （探戈芒果） 11/2/18,177,,,512,288,0,1000140
1445787,2,vupload,045 Annoying Orange vs. Gecko （橙子 vs. 守宫） 11/2/21,50,,,480,360,0,1000140
1445788,3,vupload,046 ZOOM 11/2/25,179,,,480,360,0,1000140
1445789,4,vupload,047 Orange Through Time （超时空橙子） 11/3/4,55,,,384,288,0,1000140
1445790,5,vupload,048 Kung Fruit （功夫水果） 11/3/11,243,,,512,288,0,1000140
1445791,6,vupload,049 Fortune Cookie（幸运饼干） 11/3/18,163,,,512,288,0,1000140
1445792,7,vupload,050 April Fruits Day（愚人节快乐） 11/4/1,199,,,512,288,0,1000140
1445793,8,vupload,051 Kitchen Carnage（厨房大屠杀） 11/4/7,200,,,512,288,0,1000140
1445794,9,vupload,052 Rolling In The Dough（翻滚面团） 11/4/15,204,,,512,288,0,1000140
1445795,10,vupload,053 Comedy Clubbing（肉球脱口秀） 11/4/21,188,,,320,240,0,1000140
1445796,11,vupload,054 Orange Through Time #2（超时空橙子2） 11/4/29,71,,,512,288,0,1000140
1346570,12,vupload,055 Mommy and Me（妈妈与我） 11/5/6,201,,,512,288,0,1000140
1445797,13,vupload,056 Fruit For All（水果大猜谜） 11/5/18,222,,,512,288,0,1000140
1445798,14,vupload,057 Juice Boxing（果汁盒子）11/5/20,200,,,512,288,0,1000140
1445799,15,vupload,058 Flower Power！（花的力量！） 11/5/27,212,,,512,288,0,1000140
1445800,16,vupload,059 First Person Fruiter（第一人称水果） 11/6/10,188,,,512,288,0,1000140
1445801,17,vupload,060 Meteortron（变形金刚） 11/6/17,280,,,512,288,0,1000140
1445802,18,vupload,061 YouTubers（遇见YouTuber）11/7/1,226,,,512,288,0,1000140
1445803,19,vupload,062 Trollin'（引战怪物）11/7/8,250,,,512,288,0,1000140
1445804,20,vupload,063 Orange Potter and the Deathy Apple（橙子波特：死神的苹果）11/7/13,259,,,512,288,0,1000140
1445805,21,vupload,064 The Voodoo You Do!（巫毒娃娃）11/7/22,213,,,512,288,0,1000140
1445806,22,vupload,065 Orange Goes Hollywood（进军好莱坞） 11/7/27,115,,,512,288,0,1000140
1445807,23,vupload,066 In the Dark（来自黑暗） 11/8/12,175,,,512,288,0,1000140
1445808,24,vupload,067 Naval Orange（海军橙子） 11/8/26,287,,,512,288,0,1000140
1445809,25,vupload,068 Orange Through Time #3（超时空橙子3） 11/9/2,93,,,512,288,0,1000140
1445810,26,vupload,069 Gumbrawl（软糖大战） 11/9/9,218,,,512,288,0,1000140
1445811,27,vupload,070 Pet Peeve（恼人的宠物） 11/9/16,217,,,512,288,0,1000140
1445812,28,vupload,071 Souper Dooper（超级字母汤） 11/9/23,230,,,480,360,0,1000140
1445813,29,vupload,072 Fake N Bacon（塑胶水果） 11/9/30,219,,,480,360,0,1000140
1445814,30,vupload,073a Annoying Orange vs Angry Birds （交互式视频-愤怒鸟大战）开头 11/10/7,81,,,480,360,0,1000140
1445815,31,vupload,073b 橘子VS愤怒的小鸟,62,,,480,360,0,1000140
1445816,32,vupload,073c 梨子VS愤怒的小鸟,46,,,480,360,0,1000140
1445817,33,vupload,073d 棉花糖VS愤怒的小鸟,52,,,480,360,0,1000140
1445818,34,vupload,073e 侏儒苹果VS愤怒的小鸟,58,,,480,360,0,1000140
1445819,35,vupload,073f 葡萄柚VS愤怒的小鸟,51,,,480,360,0,1000140
1445820,36,vupload,073g 神秘嘉宾VS愤怒的小鸟,48,,,480,360,0,1000140
1445821,37,vupload,074 Orange Through Time #4（超时空橙子4） 11/10/10,84,,,638,360,0,1000140
1445822,38,vupload,075 Microwave Effect（微波效应） 11/10/14 ,313,,,512,288,0,1000140
1445823,39,vupload,076 Chiller（恐怖冰柜夜） 11/10/28,228,,,480,360,0,1000140
1445824,40,vupload,077 Magic Clam（魔法蛤蜊） 11/11/4,200,,,480,360,0,1000140
1445825,41,vupload,078 Jumping Bean（跳跳豆） 11/11/11,207,,,480,360,0,1000140
1445826,42,vupload,079 Grapefruit's Totally True Tales（葡萄柚说故事） 11/12/9,185,,,480,360,0,1000140
1445827,43,vupload,080a Xmas Card Xplosion!!（圣诞卡大放送） 11/12/16,143,,,480,360,0,1000140
1445828,44,vupload,080b 棉花糖的圣诞袜（Marshmallow's sock）,81,,,480,360,0,1000140
1445829,45,vupload,080c 晕眩光明节（Dizzy Hanukkah）,50,,,480,360,0,1000140
1445830,46,vupload,081 Midget Rudolph（侏儒鲁道夫） 11/12/23,132,,,512,288,0,1000140
1445837,1,vupload,,1426,,,480,270,0,1000147
1445117,1,vupload,,362,,,636,360,0,1000151
1445845,1,vupload,,527,,,576,432,0,1000155
1445840,1,vupload,,3500,,,480,360,0,1000150
1445842,1,vupload,,405,,,640,360,0,1000153
1445847,1,vupload,,210,,,638,360,0,1000157
1445844,1,vupload,,233,,,1104,622,0,1000154
1445852,1,vupload,,237,,,636,360,0,1000160
1445856,1,vupload,,0,,,1104,622,0,1000165
1445859,1,vupload,,2878,,,640,360,0,1000167
1445860,1,vupload,,327,,,640,360,0,1000168
3200004,1,vupload,第1集,2512,,,352,240,0,1000172
3200005,2,vupload,第2集,2510,,,352,240,0,1000172
3200006,3,vupload,第3集,2505,,,352,240,0,1000172
3200007,4,vupload,第4集,2483,,,0,0,0,1000172
3200008,5,vupload,第5集,2485,,,352,240,0,1000172
3200009,6,vupload,第6集,2508,,,352,240,0,1000172
3200010,7,vupload,第7集,2716,,,352,240,0,1000172
3200011,8,vupload,第8集,2502,,,0,0,0,1000172
3200012,9,vupload,第9集,2523,,,0,0,0,1000172
3200013,10,vupload,第10集,2510,,,0,0,0,1000172
3200014,11,vupload,第11集,2499,,,352,240,0,1000172
3200015,12,vupload,第12集,2520,,,352,240,0,1000172
3200016,13,vupload,第13集,2472,,,352,240,0,1000172
3200017,14,vupload,第14集,2675,,,352,240,0,1000172
3200018,15,vupload,第15集,2520,,,352,240,0,1000172
3200019,16,vupload,第16集,2480,,,352,240,0,1000172
3200020,17,vupload,第17集,2518,,,352,240,0,1000172
3200021,18,vupload,第18集,2497,,,352,240,0,1000172
3200022,19,vupload,第19集,2442,,,0,0,0,1000172
3200023,20,vupload,第20集,2521,,,352,240,0,1000172
3200024,21,vupload,第21集,2683,,,0,0,0,1000172
3200025,22,vupload,第22集,2511,,,352,240,0,1000172
3200026,23,vupload,第23集,2449,,,352,240,0,1000172
3200027,24,vupload,第24集,2514,,,0,0,0,1000172
3200028,25,vupload,第25集,2456,,,352,240,0,1000172
3200029,26,vupload,第26集,2521,,,352,240,0,1000172
3200030,27,vupload,第27集,2413,,,352,240,0,1000172
3200031,28,vupload,第28集,2680,,,352,240,0,1000172
3200032,29,vupload,第29集,2512,,,352,240,0,1000172
3200033,30,vupload,第30集,2500,,,352,240,0,1000172
3200034,31,vupload,第31集,2493,,,0,0,0,1000172
3200035,32,vupload,第32集,2519,,,352,240,0,1000172
3200036,33,vupload,第33集,2520,,,0,0,0,1000172
3200037,34,vupload,第34集,2493,,,352,240,0,1000172
3200038,35,vupload,第35集,2671,,,352,240,0,1000172
3200039,36,vupload,第36集,2495,,,0,0,0,1000172
3200040,37,vupload,第37集,2509,,,352,240,0,1000172
3200041,38,vupload,第38集,2508,,,352,240,0,1000172
3200042,39,vupload,第39集,2507,,,352,240,0,1000172
3200043,40,vupload,第40集,2478,,,352,240,0,1000172
3200044,41,vupload,第41集,2480,,,352,240,0,1000172
3200045,42,vupload,第42集,2675,,,352,240,0,1000172
1445863,1,vupload,,2056,,,638,360,0,1000171
