related_video,aid
1118347,1000007
11449047,1000007
7792807,1000007
544290608,1000007
324737,1000007
884925459,1000007
10000008,1000007
744337,1000007
10757864,1000007
260801270,1000007
1010101,1000007
17486449,1000007
424493230,1000007
715517,1000007
99951,1000007
1305339,1000007
39400001,1000007
16735332,1000007
1039999,1000007
709844,1000007
801616,1000007
2889689,1000007
558887583,1000007
24045088,1000007
12160,1000007
40000001,1000007
7760821,1000007
16832001,1000007
1245000,1000007
3015007,1000007
804040329,1000007
1612450,1000007
1400000,1000007
1870000,1000007
1300810,1000007
3302116,1000007
2958956,1000007
6986266,1000007
1129001,1000007
313223,1000007
217273438,1000014
42611036,1000014
18504968,1000014
1118347,1000014
290454134,1000014
549788114,1000014
9582982,1000014
267452,1000014
2595499,1000014
328737528,1000014
6144201,1000014
91672452,1000014
3302116,1000014
13239478,1000014
682335,1000014
94757302,1000014
923743,1000014
15572738,1000014
168207,1000014
594397,1000014
415126862,1000014
558887583,1000014
10142500,1000014
534748,1000014
2958956,1000014
951445,1000014
106594,1000014
74387298,1000014
40000001,1000014
588481,1000014
409171,1000014
1300810,1000014
1870000,1000014
6986266,1000014
51651929,1000014
1010101,1000014
2788330,1000014
917085,1000014
8666666,1000014
894548,1000014
642584797,1000018
813182676,1000018
90861017,1000018
6869806,1000018
381890514,1000018
62059,1000018
1174553,1000018
541916978,1000018
461165,1000018
61926386,1000018
4914244,1000018
512740024,1000018
1713872,1000018
1476339,1000018
946105,1000018
2456729,1000018
583738504,1000018
327972994,1000018
910210,1000018
2230736,1000018
985789011,1000018
2070878,1000018
255492004,1000018
27905706,1000018
1178913,1000018
678925752,1000018
625798918,1000018
978369345,1000018
541183377,1000018
1901785,1000018
455493496,1000018
4453956,1000018
3508977,1000018
984595865,1000018
3658884,1000018
114916,1000018
758784,1000018
322485,1000018
886886351,1000018
925342070,1000018
468232021,1000010
1118347,1000010
723519951,1000010
9981,1000010
10000008,1000010
27562,1000010
1000018,1000010
2000010,1000010
16735332,1000010
593819694,1000010
2048,1000010
937704373,1000010
62703079,1000010
82862720,1000010
285294827,1000010
3015007,1000010
3302116,1000010
6986266,1000010
840003859,1000010
1652182,1000010
40000001,1000010
1870000,1000010
1612450,1000010
1010101,1000010
1919810,1000010
596900932,1000010
409171,1000010
382805,1000010
313223,1000010
1039999,1000010
572918,1000010
801616,1000010
917085,1000010
798618350,1000010
99999999,1000010
1000007,1000010
662645,1000010
61077116,1000010
16832001,1000010
938096553,1000010
1219968,1000021
93705,1000021
29945114,1000021
11414264,1000021
128714,1000021
16159288,1000021
21957054,1000021
8289760,1000021
23294201,1000021
15323005,1000021
989104,1000021
3215330,1000021
8660869,1000021
6497179,1000021
66215937,1000021
4588524,1000021
396910,1000021
3184253,1000021
29727099,1000021
4702550,1000021
20140308,1000021
8428593,1000021
5978281,1000021
13723122,1000021
98655447,1000021
1000018,1000021
678114750,1000021
883958399,1000021
60246422,1000021
4405316,1000021
722008676,1000021
26725241,1000021
976781828,1000026
23649463,1000026
712102274,1000026
23754122,1000026
64324222,1000026
376561194,1000026
3989181,1000026
6569966,1000026
632260904,1000026
49132029,1000026
1002409,1000026
7704932,1000026
7364515,1000026
547746562,1000026
66747954,1000026
670837687,1000026
1023088,1000026
756823425,1000026
13389550,1000026
1023078,1000026
2979769,1000026
16475364,1000026
23654186,1000026
888638041,1000026
722317153,1000026
6068647,1000026
5401880,1000026
560444648,1000026
39040187,1000026
31081312,1000026
23737992,1000026
1768768,1000026
1023104,1000026
23954031,1000026
1024207,1000026
626557273,1000026
200180214,1000026
27890319,1000026
12999804,1000026
1975293,1000026
455121948,1000024
601224170,1000024
710476886,1000024
892662599,1000024
286283764,1000024
247097662,1000024
806929482,1000024
969269048,1000024
926895901,1000024
1358913,1000024
94894959,1000024
14801937,1000024
243085740,1000024
872837,1000024
3817056,1000024
4074412,1000024
335847011,1000024
627602907,1000024
416506074,1000024
804936290,1000024
333885851,1000024
1414969,1000024
32927597,1000024
69367547,1000024
89302999,1000024
48831781,1000024
274287,1000024
17431000,1000024
946900,1000024
1024278,1000024
60011661,1000024
903293,1000024
207694601,1000024
94138151,1000024
545078662,1000024
4639641,1000024
849856,1000024
245050883,1000024
25386465,1000024
461822765,1000024
5008542,1000022
710507051,1000022
21060312,1000022
1941789,1000022
996830,1000022
1949462,1000022
981996,1000022
1006526,1000022
2281371,1000022
2256209,1000022
1334417,1000022
97899931,1000022
1065421,1000022
765698642,1000022
73216967,1000022
4779860,1000022
3370085,1000022
2626059,1000022
10110516,1000022
96537970,1000022
19927096,1000022
626197654,1000022
2229010,1000022
993746,1000022
6454238,1000022
832931,1000022
626864353,1000022
6570016,1000022
1259949,1000022
936760563,1000022
5074376,1000022
2184701,1000022
8953209,1000022
1285633,1000022
2674418,1000022
31401748,1000022
1969808,1000022
1955085,1000022
6014240,1000022
2958197,1000022
25540003,1000030
603903254,1000030
1009496,1000030
412624,1000030
892625456,1000030
3172633,1000030
888480,1000030
331463412,1000030
3183987,1000030
15104477,1000030
3172888,1000030
968083284,1000030
367786,1000030
5406838,1000030
204068686,1000030
293112338,1000030
67031665,1000030
2769733,1000030
582921863,1000030
44671535,1000030
999175,1000037
31440061,1000037
1000059,1000037
995810,1000037
807029,1000037
1002843,1000037
1000071,1000037
991673,1000037
983438,1000037
1002837,1000037
256698643,1000031
12685262,1000031
75741961,1000031
4390312,1000031
902458,1000031
764823843,1000031
888917,1000031
28219943,1000031
49416836,1000031
684981101,1000031
346514814,1000031
870564,1000031
892876,1000031
9573311,1000031
547429326,1000031
2743724,1000031
884056,1000031
892261932,1000031
818046292,1000031
860403,1000031
16580905,1000031
864600,1000031
207929520,1000031
464550255,1000031
472229402,1000031
76051274,1000031
343653056,1000031
667754499,1000031
864190,1000031
587872358,1000031
843755,1000031
3368064,1000031
543807597,1000031
857292,1000031
978321592,1000031
328758150,1000031
839786,1000031
54746321,1000031
36664193,1000031
344637809,1000031
33942038,1000038
