View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1460559,1,vupload,,3542,,,480,360,0,1010000
1460570,1,vupload,,189,,,640,360,0,1010004
1460569,1,vupload,,390,,,640,360,0,1010003
1460581,1,vupload,,270,,,512,384,0,1010012
1460586,1,vupload,,210,,,0,0,0,1010016
1460578,1,vupload,,404,,,320,240,0,1010010
1460582,1,vupload,,827,,,480,360,0,1010013
1460584,1,vupload,PS4开箱与小伙伴一起,255,,,512,288,0,1010015
1460721,2,vupload,PS4主机遭阿拉伯骚年斧头狂劈,81,,,512,288,0,1010015
1460583,1,vupload,,316,,,640,360,0,1010014
1461364,1,vupload,正片,2146,,,640,360,0,1010026
1460598,2,vupload,预告,1859,,,1280,720,0,1010026
1460596,1,vupload,,95,,,352,240,0,1010024
1460593,1,vupload,,118,,,640,360,0,1010020
1460606,1,vupload,高清,199,,,640,360,0,1010033
1460617,2,vupload,压制,199,,,640,360,0,1010033
1460608,1,vupload,,394,,,640,360,0,1010035
1460603,1,vupload,,234,,,640,360,0,1010030
1460616,1,vupload,P1 - 官方需要特殊道具的的五段隐藏剧情[有福利],1556,,,0,0,0,1010041
1465122,2,vupload,爱岛模式胡乱体验实况 狛枝线路,2031,,,0,0,0,1010041
1474301,3,vupload,爱岛模式 狛枝的心之论破 ，好感度积满,1705,,,0,0,0,1010041
1405261,4,vupload,爱岛模式胡乱体验实况  后半部分狛枝线路,2460,,,0,0,0,1010041
1396566,5,vupload,罪木蜜柑 希望碎片,1409,,,0,0,0,1010041
1396565,6,vupload,狛枝凪斗 希望碎片,1635,,,0,0,0,1010041
1396567,7,vupload,索尼娅 希望碎片,790,,,0,0,0,1010041
10252484,8,vupload,七海千秋 希望碎片,1455,,,0,0,0,1010041
10582756,9,vupload,左右田和一 希望碎片,1187,,,0,0,0,1010041
10801811,10,vupload,九头龙冬彦 希望碎片,1121,,,0,0,0,1010041
10623740,11,vupload,边谷山佩子 希望碎片,1145,,,0,0,0,1010041
25601419,12,vupload,花村辉辉 希望碎片,743,,,0,0,0,1010041
10603778,13,vupload,田中眼蛇梦 希望碎片,1387,,,0,0,0,1010041
10598770,14,vupload,澪田唯吹 希望碎片,994,,,0,0,0,1010041
10782506,15,vupload,终里赤音 希望碎片,700,,,0,0,0,1010041
10782556,16,vupload,弍大猫丸 希望碎片,837,,,0,0,0,1010041
10782625,17,vupload,西园寺日寄子 希望碎片,823,,,0,0,0,1010041
10801736,18,vupload,小泉真昼 希望碎片,925,,,0,0,0,1010041
10801774,19,vupload,食神白夜 希望碎片,1063,,,0,0,0,1010041
1460670,1,vupload,,91,,,640,360,0,1010046
1460615,1,vupload,,248,,,540,360,0,1010040
1467951,1,vupload,,199,,,640,360,0,1010045
1460623,1,vupload,,944,,,640,360,0,1010047
1460624,1,vupload,,522,,,640,360,0,1010048
1460637,1,vupload,,269,,,482,360,0,1010056
1460633,1,vupload,训练1,103,,,640,360,0,1010053
