account,count,num,size,aid
3,3,1,3,1010000
4,4,1,3,1010004
2,2,1,3,1010003
1,1,1,3,1010012
2,2,1,3,1010016
9,3,1,3,1010010
0,0,1,3,1010013
1,1,1,3,1010015
0,0,1,3,1010014
2,2,1,3,1010026
16,14,1,3,1010024
4,4,1,3,1010020
61,47,1,3,1010033
8,3,1,3,1010035
89,79,1,3,1010030
314,161,1,3,1010041
4,4,1,3,1010046
7,8,1,3,1010040
1,1,1,3,1010045
9,5,1,3,1010047
1,1,1,3,1010048
6,6,1,3,1010056
7,6,1,3,1010053
69,49,1,3,1010051
24,10,1,3,1010062
3,2,1,3,1010060
6,6,1,3,1010066
7,7,1,3,1010068
4,4,1,3,1010061
1,1,1,3,1010072
3,3,1,3,1010077
7,8,1,3,1010070
5,3,1,3,1010076
2,2,1,3,1010074
0,0,1,3,1010086
4,4,1,3,1010083
30,28,1,3,1010087
3,3,1,3,1010081
8,8,1,3,1010098
16,13,1,3,1010090
11,10,1,3,1010094
2,2,1,3,1010102
4,3,1,3,1010104
1,1,1,3,1010108
0,0,1,3,1010103
101,95,1,3,1010101
16,16,1,3,1010100
0,0,1,3,1010115
1,1,1,3,1010116
2,2,1,3,1010118
19,17,1,3,1010113
1,1,1,3,1010112
6,5,1,3,1010117
1,1,1,3,1010114
5,4,1,3,1010124
0,0,1,3,1010128
2,2,1,3,1010126
0,0,1,3,1010123
1,1,1,3,1010132
27,24,1,3,1010137
5,4,1,3,1010130
3,3,1,3,1010131
3,3,1,3,1010133
34,31,1,3,1010134
2,2,1,3,1010138
0,0,1,3,1010144
0,0,1,3,1010141
1,1,1,3,1010145
10,8,1,3,1010151
0,0,1,3,1010168
214,175,1,3,1010167
15,14,1,3,1010170
3,3,1,3,1010171
21,17,1,3,1010172
6,4,1,3,1010175
9,5,1,3,1010188
10,8,1,3,1010183
14,14,1,3,1010181
1,1,1,3,1010180
16,11,1,3,1010184
0,0,1,3,1010196
65,62,1,3,1010197
48,24,1,3,1010198
106,103,1,3,1010194
5,5,1,3,1010208
5,5,1,3,1010205
27,8,1,3,1010204
0,0,1,3,1010210
4,4,1,3,1010217
0,1,1,3,1010218
9,8,1,3,1010225
4,3,1,3,1010226
2,1,1,3,1010234
71,61,1,3,1010238
1,1,1,3,1010233
2,3,1,3,1010237
3,2,1,3,1010248
26,11,1,3,1010243
103,65,1,3,1010242
4,4,1,3,1010246
0,0,1,3,1010241
14,17,1,3,1010250
4,3,1,3,1010251
1,1,1,3,1010256
5,3,1,3,1010265
0,0,1,3,1010264
4874,2862,1,3,1010262
0,0,1,3,1010272
8,8,1,3,1010274
1,1,1,3,1010271
54,31,1,3,1010277
9,6,1,3,1010280
