account,count,num,size,aid
0,0,1,3,1090007
1,1,1,3,1090000
4,4,1,3,1090004
8,7,1,3,1090003
8,4,1,3,1090018
6,5,1,3,1090015
2,2,1,3,1090016
21,14,1,3,1090027
72,67,1,3,1090024
6,5,1,3,1090028
1,1,1,3,1090026
14,15,1,3,1090030
93,67,1,3,1090037
10,10,1,3,1090034
1,1,1,3,1090047
1,1,1,3,1090043
4,4,1,3,1090044
10,9,1,3,1090048
154,134,1,3,1090042
20,13,1,3,1090041
17,15,1,3,1090056
2,2,1,3,1090055
0,0,1,3,1090066
9,4,1,3,1090065
10,5,1,3,1090068
1,1,1,3,1090060
0,0,1,3,1090074
1,1,1,3,1090078
4,3,1,3,1090077
7,7,1,3,1090073
3,3,1,3,1090076
0,0,1,3,1090084
0,0,1,3,1090086
1,1,1,3,1090081
1,1,1,3,1090088
100,41,1,3,1090097
0,0,1,3,1090098
30,31,1,3,1090096
0,0,1,3,1090090
0,0,1,3,1090108
22,18,1,3,1090104
4,4,1,3,1090100
23,17,1,3,1090103
1,1,1,3,1090118
39,29,1,3,1090113
6,6,1,3,1090111
23,13,1,3,1090121
48,34,1,3,1090127
4,4,1,3,1090120
0,0,1,3,1090130
5,2,1,3,1090135
2,2,1,3,1090137
7,6,1,3,1090138
55,53,1,3,1090136
3,3,1,3,1090133
8,6,1,3,1090143
0,0,1,3,1090146
7,7,1,3,1090148
16,17,1,3,1090142
2,2,1,3,1090152
5,5,1,3,1090153
9,8,1,3,1090150
1,1,1,3,1090163
1,1,1,3,1090168
5,5,1,3,1090166
4,4,1,3,1090160
128,47,1,3,1090162
4,2,1,3,1090171
9,5,1,3,1090172
2,2,1,3,1090170
2,1,1,3,1090177
6,5,1,3,1090178
30,12,1,3,1090180
1,1,1,3,1090185
6,6,1,3,1090188
0,0,1,3,1090197
15,14,1,3,1090195
39,24,1,3,1090194
1,1,1,3,1090204
119,64,1,3,1090200
147,62,1,3,1090208
9,10,1,3,1090201
2,2,1,3,1090217
3,3,1,3,1090212
10,8,1,3,1090214
2,2,1,3,1090211
0,0,1,3,1090244
4,4,1,3,1090247
17,8,1,3,1090248
2,2,1,3,1090257
0,0,1,3,1090256
2,2,1,3,1090251
0,0,1,3,1090250
0,0,1,3,1090265
0,0,1,3,1090260
1,1,1,3,1090267
10,10,1,3,1090268
7,7,1,3,1090266
0,0,1,3,1090270
3,4,1,3,1090276
32,31,1,3,1090288
48,41,1,3,1090291
12,12,1,3,1090290
46,46,1,3,1090295
3,3,1,3,1090298
49,32,1,3,1090300
8,10,1,3,1090308
1,1,1,3,1090302
5,2,1,3,1090318
0,0,1,3,1090311
50,42,1,3,1090316
8,7,1,3,1090310
62,45,1,3,1090315
0,0,1,3,1090320
7,7,1,3,1090323
27,14,1,3,1090328
20,11,1,3,1090321
16,11,1,3,1090327
4,4,1,3,1090337
0,0,1,3,1090330
29,23,1,3,1090334
24,20,1,3,1090332
4,2,1,3,1090347
2,2,1,3,1090344
9,9,1,3,1090348
2,1,1,3,1090341
0,0,1,3,1090354
5,5,1,3,1090367
5,4,1,3,1090366
10,6,1,3,1090362
5,4,1,3,1090363
40,34,1,3,1090371
6,4,1,3,1090372
4,4,1,3,1090376
6,6,1,3,1090381
1,1,1,3,1090392
6,4,1,3,1090393
7,5,1,3,1090397
23,19,1,3,1090394
1,1,1,3,1090391
0,0,1,3,1090396
8,4,1,3,1090402
7,4,1,3,1090404
26,18,1,3,1090406
7,3,1,3,1090408
11,6,1,3,1090400
4,1,1,3,1090403
59,59,1,3,1090418
11,11,1,3,1090410
1,1,1,3,1090417
27,25,1,3,1090411
1,1,1,3,1090415
5,5,1,3,1090412
3,3,1,3,1090416
3,3,1,3,1090428
11,6,1,3,1090427
5,4,1,3,1090424
3,2,1,3,1090426
4,3,1,3,1090420
7,7,1,3,1090421
13,10,1,3,1090432
7,5,1,3,1090431
3,2,1,3,1090437
3,3,1,3,1090430
0,0,1,3,1090436
11,2,1,3,1090433
31,16,1,3,1090434
11,7,1,3,1090443
9,7,1,3,1090440
0,0,1,3,1090442
6,5,1,3,1090441
0,0,1,3,1090450
20,14,1,3,1090456
0,0,1,3,1090466
4,4,1,3,1090468
0,0,1,3,1090472
2,2,1,3,1090475
1,1,1,3,1090474
3,2,1,3,1090478
1,1,1,3,1090476
32,28,1,3,1090473
1,1,1,3,1090482
3,2,1,3,1090480
16,6,1,3,1090484
1,1,1,3,1090494
0,0,1,3,1090497
8,4,1,3,1090496
8,8,1,3,1090506
620,418,1,3,1090505
0,0,1,3,1090512
6,4,1,3,1090518
0,0,1,3,1090514
0,0,1,3,1090511
2,2,1,3,1090521
2,2,1,3,1090527
17,17,1,3,1090528
0,0,1,3,1090525
1,1,1,3,1090533
1,1,1,3,1090531
11,3,1,3,1090537
26,21,1,3,1090540
11,12,1,3,1090542
5,5,1,3,1090548
8,6,1,3,1090545
2,2,1,3,1090543
1,2,1,3,1090552
7,7,1,3,1090555
23,16,1,3,1090558
106,65,1,3,1090553
0,0,1,3,1090550
4,2,1,3,1090566
2,2,1,3,1090565
0,0,1,3,1090568
5,5,1,3,1090561
3,3,1,3,1090564
1,1,1,3,1090563
382,358,1,3,1090577
2,2,1,3,1090570
13,11,1,3,1090573
61,35,1,3,1090572
34,30,1,3,1090574
15,14,1,3,1090576
24,16,1,3,1090575
3,3,1,3,1090580
4,4,1,3,1090582
32,26,1,3,1090586
4,3,1,3,1090587
2,2,1,3,1090581
3,3,1,3,1090596
103,86,1,3,1090591
7,7,1,3,1090598
0,0,1,3,1090607
10,9,1,3,1090604
