related_video,aid
838714975,1090007
1083387,1090007
1980643,1090007
2709836,1090007
498693122,1090007
3566524,1090007
84619940,1090007
1668004,1090007
8771819,1090007
457982868,1090007
56961468,1090007
299643484,1090007
499558143,1090007
14254034,1090007
7695849,1090007
628263597,1090007
28030768,1090007
2925743,1090007
13649666,1090007
13650221,1090007
51557833,1090007
86228335,1090007
30496139,1090007
796450266,1090000
967533809,1090000
802130538,1090000
33845000,1090000
338891121,1090000
969199328,1090000
11766855,1090000
11528317,1090000
502151609,1090000
985828,1090000
44679467,1090000
1650019,1090000
42013994,1090000
995041,1090000
10481977,1090000
67287332,1090000
891350,1090004
768417,1090004
756122,1090004
837909,1090004
959003,1090004
1672113,1090004
689294,1090004
694113,1090004
1026827,1090004
905044,1090004
690628238,1090004
305751793,1090004
1188798,1090004
339525,1090004
773173,1090004
616726,1090004
903130693,1090004
563207624,1090004
690628542,1090004
733307617,1090004
9823649,1090004
263136198,1090004
648193738,1090004
10858987,1090004
220693822,1090004
305813831,1090004
1056397,1090004
602243,1090004
1064492,1090004
690775172,1090004
563365079,1090004
433236596,1090004
874341,1090004
733185663,1090004
648242646,1090004
1007663,1090004
10468890,1090004
903158426,1090004
690743981,1090004
826382,1090004
9349406,1090003
771803912,1090003
3288568,1090003
287739795,1090003
3508737,1090003
12627467,1090003
3861506,1090003
500728,1090003
4970775,1090003
6081425,1090003
1740329,1090003
540029616,1090003
20385354,1090003
887476271,1090003
70360717,1090003
841919379,1090003
25047933,1090003
91114717,1090003
569282,1090003
4201293,1090003
30633255,1090003
4235489,1090003
58329997,1090003
847093562,1090003
631337309,1090003
423780,1090003
3581918,1090003
9603872,1090003
18837705,1090003
886426536,1090003
243590565,1090003
1756974,1090003
10501037,1090003
47541148,1090003
374943368,1090003
3880502,1090003
4919148,1090003
10948157,1090003
887535562,1090003
36355814,1090003
28018722,1090018
92354749,1090018
20292406,1090018
4574690,1090018
333690,1090018
2878837,1090018
2382575,1090018
1414705,1090018
760250557,1090018
508710,1090018
9954357,1090018
24708353,1090018
1929590,1090018
2283338,1090018
52971173,1090018
2583307,1090018
10900118,1090018
4404852,1090018
52910220,1090018
13527200,1090018
9064491,1090018
37192737,1090018
3317753,1090018
1057807,1090018
371085,1090018
6313764,1090018
4843546,1090018
1024120,1090018
1105721,1090018
30333711,1090018
13524694,1090018
808722186,1090015
1088923,1090015
216674988,1090015
719315039,1090015
3160805,1090015
509150375,1090015
5062042,1090015
636961364,1090015
669856335,1090015
636704109,1090015
338637085,1090015
53899028,1090015
3138337,1090015
600747787,1090015
466311168,1090015
673490060,1090015
70625084,1090015
466778042,1090015
69491429,1090015
459183419,1090015
332691941,1090015
375768023,1090015
1225524,1090015
712414915,1090015
798058988,1090015
211691705,1090015
931183829,1090015
813908363,1090015
40946233,1090015
976302661,1090015
754690746,1090015
509594653,1090015
625531515,1090015
900065617,1090015
986226697,1090015
1432853,1090015
413464140,1090015
849143109,1090015
80564112,1090015
936765,1090015
1121109,1090016
246901527,1090016
19875667,1090016
261758840,1090016
1535932,1090016
2196807,1090016
288058420,1090016
