related_video,aid
1092565,1030007
1038100,1030007
1063230,1030007
1073574,1030007
1006112,1030007
1101248,1030007
1114496,1030007
1106812,1030007
1004846,1030007
1310517,1030007
1041100,1030007
1033327,1030007
1076024,1030007
1033326,1030007
1089236,1030007
1117069,1030007
1033321,1030007
1106811,1030007
1056381,1030007
1110311,1030007
1013083,1030007
1025564,1030007
1008733,1030007
1076021,1030007
1006461,1030007
1068126,1030007
1056378,1030007
1039618,1030007
1112244,1030007
1022013,1030007
1002236,1030007
1054645,1030007
987255,1030007
1321893,1030007
1076027,1030007
1036654,1030007
1097023,1030007
999510,1030007
1110314,1030007
1313092,1030007
1106812,1030008
1101248,1030008
1004846,1030008
1056378,1030008
1117069,1030008
1110311,1030008
1076024,1030008
1033321,1030008
1310517,1030008
1025564,1030008
1298725,1030008
1006461,1030008
1033326,1030008
999510,1030008
1006465,1030008
1036654,1030008
1042616,1030008
1030958,1030008
1076021,1030008
1112244,1030008
1006112,1030008
1303820,1030008
1091080,1030008
1094483,1030008
1013081,1030008
1321893,1030008
1087634,1030008
1092567,1030008
1039618,1030008
1108504,1030008
999513,1030008
1091082,1030008
1002236,1030008
1313092,1030008
1013083,1030008
1106811,1030008
1004811,1030008
1073576,1030008
1028278,1030008
1119729,1030008
1412280,1030006
29765704,1030006
20614567,1030006
2101435,1030006
9695023,1030006
4408923,1030006
981440,1030006
4787403,1030006
3796186,1030006
1294543,1030006
46768993,1030006
18996747,1030006
30282743,1030006
3777173,1030006
51756451,1030006
49990318,1030006
30955808,1030006
4409011,1030006
10763544,1030006
10199631,1030006
44674481,1030006
1041170,1030000
23589108,1030000
26335091,1030000
62039428,1030000
211738790,1030000
745618,1030000
1032650,1030000
3210729,1030000
40993592,1030000
800947182,1030000
87263880,1030000
54419643,1030000
639775344,1030000
6519324,1030000
40479943,1030000
11445457,1030000
930772383,1030000
83082351,1030000
38001112,1030000
31251330,1030000
14636906,1030000
20000791,1030000
6514653,1030000
53429320,1030000
1691075,1030000
941660029,1030000
1865803,1030000
66355302,1030000
6519147,1030000
426854300,1030000
589519209,1030000
50538212,1030000
75268630,1030000
11415989,1030000
27236088,1030000
25833080,1030000
342340442,1030000
1404412,1030000
928560810,1030000
15921311,1030000
8904451,1030004
53975248,1030004
855180339,1030004
39846043,1030004
93544551,1030004
685852984,1030004
1587486,1030004
286442450,1030004
929517428,1030004
6544349,1030004
636597,1030004
85353142,1030004
14664737,1030004
625347013,1030004
6596499,1030004
1087199,1030004
937716305,1030004
968066376,1030004
285953,1030004
962090,1030004
19239540,1030004
69873096,1030004
1970867,1030004
9322566,1030004
23812937,1030004
17465243,1030004
42383015,1030004
89735066,1030004
10576789,1030004
1083077,1030004
74089931,1030004
64978259,1030004
54004676,1030004
97671490,1030004
92015435,1030004
944472,1030004
20258469,1030004
77904,1030004
897408,1030004
1023604,1030004
4904618,1030002
11309216,1030002
1153696,1030002
31625515,1030002
3780140,1030002
1881563,1030002
56122202,1030002
34350635,1030002
13798511,1030002
68892174,1030002
4166768,1030002
3767111,1030002
59900427,1030002
3234649,1030002
32360779,1030002
12751895,1030002
36132952,1030002
37240357,1030002
11559616,1030002
11318749,1030002
380894837,1030002
1617604,1030002
53737856,1030002
50307762,1030002
13213372,1030002
885160121,1030002
11722881,1030002
3355874,1030002
295149943,1030002
19036360,1030002
68035222,1030002
1375164,1030002
20292203,1030002
530006,1030002
9189580,1030002
5074220,1030002
2220032,1030002
4641052,1030002
413119029,1030002
415825295,1030002
1110311,1030003
1002236,1030003
1106812,1030003
1117069,1030003
1298725,1030003
1310517,1030003
1025564,1030003
1030958,1030003
1033321,1030003
1313092,1030003
999513,1030003
1056378,1030003
1004846,1030003
1076024,1030003
1033326,1030003
1101248,1030003
1119729,1030003
1303820,1030003
1092567,1030003
1041099,1030003
1006112,1030003
1036654,1030003
1051697,1030003
1321893,1030003
1013081,1030003
1006461,1030003
1053131,1030003
1039618,1030003
1060987,1030003
1006465,1030003
1087634,1030003
1108504,1030003
1089242,1030003
1049553,1030003
1051695,1030003
1091080,1030003
1094483,1030003
1065078,1030003
999510,1030003
1119727,1030003
1005124,1030016
988016,1030016
772792231,1030016
2220688,1030016
1935822,1030016
836406,1030016
797006841,1030016
1011799,1030016
2642467,1030016
2455505,1030016
455293745,1030016
1556503,1030016
233865,1030016
1260516,1030016
817764,1030016
2383797,1030016
981453,1030016
1901641,1030016
2384234,1030016
988026,1030016
1681749,1030016
7928452,1030016
933875029,1030016
2322292,1030016
2318897,1030016
2616540,1030016
1916741,1030016
1004982,1030016
1944831,1030016
1712312,1030016
2249117,1030016
1967647,1030016
679754712,1030016
1332317,1030016
1002736,1030016
7863328,1030016
42742137,1030016
1482521,1030016
2384392,1030016
903422,1030016
1104430,1030010
1490303,1030010
1020341,1030010
80166430,1030010
632405844,1030010
84093761,1030010
1135605,1030010
1065185,1030010
1086595,1030010
1493829,1030010
1077633,1030010
1496206,1030010
1490904,1030010
1128065,1030010
39549909,1030010
7645007,1030010
925055484,1030010
1030009,1030010
82640411,1030010
3988383,1030010
1495844,1030010
807894801,1030010
15671366,1030010
1493808,1030010
3989602,1030010
87221196,1030010
4075394,1030010
10317244,1030010
22976741,1030010
23976726,1030010
1494089,1030010
4106875,1030010
30031256,1030010
21842769,1030010
10441938,1030010
55504308,1030010
674202875,1030010
68225764,1030010
590331556,1030010
10904684,1030010
8681755,1030015
840407105,1030015
41750283,1030015
4150824,1030015
626753893,1030015
2238734,1030015
927449529,1030015
9800745,1030015
10932018,1030015
600626231,1030015
38935335,1030015
530791,1030015
337280592,1030015
69712742,1030015
