account,count,num,size,aid
0,0,1,3,1030007
1,1,1,3,1030008
7,7,1,3,1030006
146,120,1,3,1030000
151,90,1,3,1030004
25,24,1,3,1030002
0,0,1,3,1030003
45,30,1,3,1030016
4,3,1,3,1030010
1,1,1,3,1030015
3,3,1,3,1030021
0,0,1,3,1030028
2,2,1,3,1030027
3,2,1,3,1030023
0,0,1,3,1030038
5,4,1,3,1030037
13,13,1,3,1030033
17,15,1,3,1030030
0,0,1,3,1030032
0,0,1,3,1030034
0,0,1,3,1030042
33,19,1,3,1030044
8,10,1,3,1030041
9,9,1,3,1030040
14,14,1,3,1030054
4,2,1,3,1030053
206,140,1,3,1030056
19,20,1,3,1030051
49,39,1,3,1030065
12,9,1,3,1030066
2,2,1,3,1030063
23,8,1,3,1030060
2,2,1,3,1030076
7,5,1,3,1030075
10,10,1,3,1030077
2,2,1,3,1030072
7,8,1,3,1030083
12,9,1,3,1030082
2,2,1,3,1030081
1,1,1,3,1030080
133,86,1,3,1030086
44,33,1,3,1030088
618,569,1,3,1030094
0,0,1,3,1030098
3,3,1,3,1030090
40,37,1,3,1030095
0,0,1,3,1030092
0,0,1,3,1030091
1,1,1,3,1030104
1,1,1,3,1030107
2,2,1,3,1030102
4,4,1,3,1030100
57,56,1,3,1030115
33,20,1,3,1030125
0,0,1,3,1030124
3,3,1,3,1030126
49,35,1,3,1030128
0,0,1,3,1030127
1,1,1,3,1030123
1,1,1,3,1030130
1,1,1,3,1030137
4,4,1,3,1030136
7,7,1,3,1030133
73,40,1,3,1030131
25,24,1,3,1030143
2,1,1,3,1030145
5,4,1,3,1030142
42,29,1,3,1030140
4,3,1,3,1030141
5,3,1,3,1030146
3,3,1,3,1030147
0,0,1,3,1030152
19,11,1,3,1030150
0,0,1,3,1030155
1,2,1,3,1030156
10,4,1,3,1030164
1,1,1,3,1030162
1,1,1,3,1030160
11,6,1,3,1030167
16,11,1,3,1030171
98,76,1,3,1030176
1,1,1,3,1030173
6,2,1,3,1030177
8,7,1,3,1030181
3,3,1,3,1030191
0,0,1,3,1030193
32,32,1,3,1030203
4,4,1,3,1030202
1,1,1,3,1030207
94,67,1,3,1030213
88,66,1,3,1030217
1,1,1,3,1030225
16,16,1,3,1030227
0,0,1,3,1030230
0,0,1,3,1030235
7,5,1,3,1030232
3,3,1,3,1030236
3,3,1,3,1030234
5,4,1,3,1030247
10,11,1,3,1030244
8,5,1,3,1030240
0,0,1,3,1030248
84,83,1,3,1030242
75,73,1,3,1030258
1,1,1,3,1030257
11,9,1,3,1030268
4,4,1,3,1030263
28,18,1,3,1030262
9,8,1,3,1030267
6,6,1,3,1030270
5,2,1,3,1030275
3,1,1,3,1030280
2,2,1,3,1030288
1,1,1,3,1030296
10,10,1,3,1030294
46,28,1,3,1030295
22,17,1,3,1030298
2,2,1,3,1030306
3,7,1,3,1030303
2,1,1,3,1030304
3,3,1,3,1030313
17,13,1,3,1030315
4,3,1,3,1030321
15,10,1,3,1030328
3,3,1,3,1030326
93,67,1,3,1030322
23,13,1,3,1030323
137,85,1,3,1030331
5,3,1,3,1030334
340,181,1,3,1030332
42,20,1,3,1030335
36,23,1,3,1030337
39,30,1,3,1030333
1,2,1,3,1030346
12,9,1,3,1030342
7,7,1,3,1030345
73,61,1,3,1030340
7,7,1,3,1030356
3,2,1,3,1030355
0,0,1,3,1030364
40,35,1,3,1030360
3,3,1,3,1030361
