View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1491047,8,vupload,ちょうちょ-夕日坂,339,,,480,360,0,1030128
1491091,9,vupload,セリユ-kiss,282,,,854,480,0,1030128
1491050,10,vupload,ばずぱんだ-呐。,384,,,722,480,0,1030128
1491092,11,vupload,七里ひろき-即使那就是你的幸福,268,,,854,480,0,1030128
1491052,12,vupload,リシェ-真实的心情,319,,,640,360,0,1030128
1491051,13,vupload,ほとり-春に一番近い街,283,,,640,360,0,1030128
1491053,14,vupload,TOYro-solitude,308,,,640,360,0,1030128
1491095,15,vupload,秋赤音-伤潮溺亡,209,,,480,360,0,1030128
1491097,16,vupload,深冬-Leave,286,,,640,360,0,1030128
1491054,17,vupload,teksy-正義粉砕,226,,,600,360,0,1030128
1491055,18,vupload,π-悪之娘,378,,,480,360,0,1030128
1491056,19,vupload,リツカ-想像forest,255,,,640,360,0,1030128
1491057,20,vupload,＿＿-豆芽菜女子,289,,,600,360,0,1030128
1491058,21,vupload,しゃむおん-Caseaman,195,,,512,384,0,1030128
1491096,22,vupload,この子-明天也,252,,,864,486,0,1030128
1491059,23,vupload,ゆいこんぬ-Hello／How are you,286,,,640,360,0,1030128
1491115,24,vupload,じんけ-Cyber Thunder Cider,211,,,640,360,0,1030128
1491098,25,vupload,lime-React,288,,,512,288,0,1030128
1491099,26,vupload,Φ串Φ-夢地図,190,,,640,360,0,1030128
1491100,27,vupload,ぱなまん-离去之原,273,,,640,360,0,1030128
1491116,28,vupload,八京-败北的少年,227,,,640,360,0,1030128
1491153,29,vupload,ぽむぽむ-souvenir,297,,,640,360,0,1030128
1491140,30,vupload,石敢当-痛并渴痛,196,,,640,360,0,1030128
1491117,31,vupload,よるきち-九龍復古,207,,,640,360,0,1030128
1491101,32,vupload,紅(こう)-背景，沉溺於夏天里,311,,,640,360,0,1030128
1491102,33,vupload,【特别篇】koma’n-活动小丑,307,,,640,360,0,1030128
1491044,1,vupload,,2434,,,638,360,0,1030127
1491040,1,vupload,,221,,,512,288,0,1030123
1491060,1,vupload,,228,,,856,480,0,1030130
1491066,1,vupload,,15,,,640,360,0,1030137
1491065,1,vupload,,158,,,512,288,0,1030136
1491288,1,vupload,1,250,,,640,360,0,1030133
1491062,1,vupload,,291,,,640,358,0,1030131
1491071,1,vupload,,2242,,,640,360,0,1030143
1491073,1,vupload,1,1309,,,480,360,0,1030145
1491074,2,vupload,2,1963,,,480,360,0,1030145
1491075,3,vupload,3,2021,,,480,360,0,1030145
1491077,4,vupload,5,1798,,,480,360,0,1030145
