rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
12444039,1030008,1,649619,0,0,0,0,0,1,0,0,0,1395927189,0,0,"{'message': '真心第一次见角鹰兽骑士', 'plat': 0, 'device': ''}",,0,False,1030008
12583899,1030006,1,10898,0,0,0,0,0,5,0,0,0,1396424968,1,0,"{'message': 'Mr.Bing好可怜', 'plat': 0, 'device': ''}",,0,False,1030006
82982775,1030006,1,3060647,0,0,0,0,0,7,0,0,0,1454777752,0,0,"{'message': 'tentacle hentai是什么玩意？谷歌翻译竟然翻译不出来？', 'plat': 0, 'device': ''}",,0,False,1030006
14935788,1030006,1,929554,0,0,0,0,0,6,0,0,0,1403182653,0,0,"{'message': 'bing23333', 'plat': 0, 'device': ''}",,0,False,1030006
12607122,1030000,1,418366,0,0,0,0,0,65,0,0,0,1396524812,41,0,"{'message': '这科技树都歪成迎客松了……', 'plat': 0, 'device': ''}",,0,False,1030000
12596616,1030000,1,50524,0,0,0,0,0,60,0,0,0,1396464836,22,0,"{'message': '突然想到下班到家只能和吸尘器说话……而且总是那几句……OAQ……', 'plat': 0, 'device': ''}",,0,False,1030000
28309963,1030000,1,502934,0,0,0,0,0,117,0,0,0,1428108407,7,0,"{'message': '目睹一个沼跃鱼一样的东西用钉宫的声音说话_(:3」∠)_', 'plat': 0, 'device': ''}",,0,False,1030000
12561701,1030004,1,1613224,0,0,0,6,6,45,0,0,0,1396337731,20,0,"{'message': '如其说这个视频是经典输给流行的典范，不如说这是三次元在B站的失败，正是因为这样考虑，我才在这个视频中上榜了很多可以让这个视频火起来的歌曲，比如巨人团子拔剑亿千万这样的歌曲，可是就算是这样也没有拯救这个视频，视频依然是没有火，或许上一期那些吐槽我标题的人看完这个视频后不再吐槽我，可是这个视频的点击依然是令我觉得自己的这个视频失去了制作的意义，我一开始就明白不应该搞个[全民向]日本神曲评选决赛入选歌曲汇总这样的标题，这个视频的意义是让更多的人知道那些好的音乐，可是这个点击量注定让这个视频失去了意义，吗，说了这么多话，也只能希望未来有人会把它顶上去了', 'plat': 0, 'device': ''}",,0,False,1030004
12511090,1030004,1,1613224,0,0,0,2,2,25,0,0,0,1396157355,8,0,"{'message': '亿千万没有人刷，团子没人刷，进击的巨人没人刷，炮姐没人刷，不火其实挺不错的，这样就可以给自己的这个视频搞个“B站历史上质量和点击量最不成正比的视频”，说不定在过几年，把这个视频顶上去让无数人感慨原来B站竟然有亿千万没有人刷，团子没人刷，进击的巨人没人刷，炮姐没人刷这样的视频，说不定未来有人挖坟把这个视频顶上去也是有可能的，所以说，不火也挺不错的，吗，反正我觉得还是不删除算了，就让这个视频成为B站最不可思议最不火的视频吧', 'plat': 0, 'device': ''}",,0,False,1030004
15837224,1030004,1,2753815,0,0,0,4,4,82,0,0,0,1405494127,6,0,"{'message': '111-170 http://pan.baidu.com/s/1c0rfzQo\n171-230 http://pan.baidu.com/s/1o6Lkg0U\n\n补下链接,大概下次会补不到吧。@被水淹死的鱼\n\n', 'plat': 0, 'device': ''}",,0,False,1030004
12438425,1030002,1,1510822,0,0,0,0,0,4,0,0,0,1395912124,1,0,"{'message': '（￣▽￣）o hohohohoho四月快降临了  我等期待的妖尾ohohohooh', 'plat': 0, 'device': ''}",,0,False,1030002
12438267,1030002,1,644525,0,0,0,0,0,3,0,0,0,1395911495,1,0,"{'message': '四月五号啊 四月五号~~~~', 'plat': 0, 'device': ''}",,0,False,1030002
13216338,1030002,1,1112942,0,0,0,0,0,24,0,0,0,1398308623,0,0,"{'message': '求下载啊~~~', 'plat': 0, 'device': ''}",,0,False,1030002
12444178,1030016,1,365031,0,0,0,17,17,3,0,0,0,1395927483,28,0,"{'message': '俄罗斯最喜欢侵占别国领土了，近代以来中国被很多国家侵略过，但是都没有什么领土损失，而俄罗斯却侵占了我国几百万平方公里的土地，还分裂出了一个外蒙古。', 'plat': 0, 'device': ''}",,0,False,1030016
469683439,1030016,1,2005557,0,0,0,0,0,24,6,0,4,1509738150,17,0,"{'message': '黄俄没脑子，美分没人格', 'plat': 0, 'device': ''}",,0,False,1030016
12476453,1030016,1,859692,0,0,0,5,5,15,0,0,0,1396059636,6,0,"{'message': '支持俄罗斯，虽然中国不是苏维埃阵营了，但现在应该支持俄罗斯对抗美国的说，中国投票还弃权了，我想说有时候不能那么洁身自好', 'plat': 0, 'device': ''}",,0,False,1030016
71991538,1030010,1,5289026,0,0,0,0,0,3,0,0,0,1449932934,0,0,"{'message': '挂了qaq', 'plat': 0, 'device': ''}",,0,False,1030010
39131238,1030010,1,3046643,0,0,0,0,0,2,0,0,0,1440346564,0,0,"{'message': 'MC系列不更了？', 'plat': 0, 'device': ''}",,0,False,1030010
12438448,1030010,1,460497,0,0,0,1,1,1,0,0,0,1395912189,0,0,"{'message': '我觉得现在再做这个游戏是不是有点晚了', 'plat': 0, 'device': ''}",,0,False,1030010
12444455,1030015,1,1729709,0,0,0,0,0,1,0,0,0,1395928129,0,0,"{'message': '全程黑白有点不适应呢...', 'plat': 0, 'device': ''}",,0,False,1030015
1978955315,1030021,1,4312208,0,0,0,0,0,3,0,0,0,1569174850,0,0,"{'message': '好帶感！', 'plat': 0, 'device': ''}",,0,False,1030021
12456061,1030021,1,296403,0,0,0,0,0,2,2,0,0,1395985827,0,0,"{'message': '好可爱www', 'plat': 0, 'device': ''}",,0,False,1030021
