rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
14879790,1200007,1,371742,0,0,0,0,0,1,0,0,0,1402922832,0,0,"{'message': '丧心病狂！居然对小美下重手！', 'plat': 0, 'device': ''}",,0,False,1200007
14814784,1200002,1,46213,0,0,0,0,0,2,0,0,0,1402752476,1,0,"{'message': '（￣へ￣）应该会去看', 'plat': 0, 'device': ''}",,0,False,1200002
14816758,1200002,1,1574619,0,0,0,0,0,4,0,0,0,1402755807,0,0,"{'message': '节操一地(´▽｀)', 'plat': 0, 'device': ''}",,0,False,1200002
14815296,1200002,1,9943,0,0,0,0,0,3,0,0,0,1402753343,0,0,"{'message': '(｀_´)ゞあしば', 'plat': 0, 'device': ''}",,0,False,1200002
33716359,1200000,1,494964,0,0,0,3,3,71,0,0,0,1435480720,105,0,"{'message': '好赞！！不仅仅是AV号(°∀°)ﾉ', 'plat': 0, 'device': ''}",,0,False,1200000
693942034,1200000,1,86877695,0,0,0,8,6,79,0,0,0,1521624220,40,0,"{'message': 'av1200000 av1300000 av1400000 av1500000 av1600000全是这个up主！！！！', 'plat': 0, 'device': ''}",,0,False,1200000
367382389,1200000,1,89730345,0,0,0,0,0,76,0,0,0,1502150495,27,0,"{'message': '随便输的av号', 'plat': 0, 'device': ''}",,0,False,1200000
23898076,1200001,1,696658,0,0,0,0,0,13,0,0,0,1421683246,3,0,"{'message': '已关注 ', 'plat': 0, 'device': ''}",,0,False,1200001
14966722,1200001,1,295660,0,0,0,0,0,12,2,0,0,1403289497,2,0,"{'message': '铁血兵团欧版所有人都变成机器人了。。。第一次看吓尿了www', 'plat': 0, 'device': ''}",,0,False,1200001
14852426,1200001,1,2186173,0,0,0,0,0,11,0,0,0,1402840369,1,0,"{'message': '支援 UP', 'plat': 0, 'device': ''}",,0,False,1200001
14814546,1200008,1,3723324,0,0,0,0,0,2,0,0,0,1402752009,2,0,"{'message': '(^・ω・^ )求硬币 求积分 求赞顶 求弹幕 求评论 求吐槽 求点击 求首页【你太贪心了', 'plat': 0, 'device': ''}",,0,False,1200008
14837623,1200008,1,1523680,0,0,0,1,1,3,0,0,0,1402815157,1,0,"{'message': 'ε=ε=(ノ≧∇≦)ノ', 'plat': 0, 'device': ''}",,0,False,1200008
36885907,1200008,1,2131392,0,0,0,0,0,5,0,0,0,1438603642,0,0,"{'message': '@12哥  450太少了1200008', 'plat': 0, 'device': ''}",,0,False,1200008
