View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1475707,1,vupload,,1931,,,512,286,0,1020003
23747647,1,vupload,,299,,,600,360,0,1020004
1475714,1,vupload,,115,,,270,360,0,1020010
1475722,1,vupload,,565,,,638,360,0,1020016
1475721,1,vupload,,2395,,,480,360,0,1020014
1503045,1,vupload,,275,,,640,360,0,1020017
1475726,1,vupload,,220,,,640,360,0,1020020
1475730,1,vupload,,125,,,640,360,0,1020024
1475727,1,vupload,,30,,,640,360,0,1020021
1475743,1,vupload,,3071,,,480,360,0,1020032
1475747,1,vupload,,278,,,640,360,0,1020037
1475758,1,vupload,,1232,,,480,360,0,1020046
1475757,1,vupload,,1131,,,480,360,0,1020045
1475759,1,vupload,,4735,,,638,360,0,1020047
1475752,1,vupload,,46,,,638,360,0,1020040
1475760,1,vupload,,4014,,,672,378,0,1020048
1475853,1,vupload,,920,,,638,360,0,1020057
1475828,1,vupload,牢不可破的联盟,193,,,384,288,0,1020056
1477256,2,vupload,斯拉夫送行曲,161,,,320,240,0,1020056
1477257,3,vupload,神圣的战争,160,,,384,216,0,1020056
276174,4,vupload,红军最强大（摇滚版）,209,,,320,240,0,1020056
825513,5,vupload,红军最强大（动画版）,1132,,,384,288,0,1020056
1475832,6,vupload,跨过高山越过平原,140,,,640,480,0,1020056
1477258,7,vupload,胜利节（原版）,347,,,320,240,0,1020056
1475833,8,vupload,胜利节（新版）,1533,,,320,240,0,1020056
1475834,9,vupload,燃烧吧营火（苏少先队队歌）,99,,,320,240,0,1020056
794973,10,vupload,斯大林空军进行曲,266,,,556,288,0,1020056
1477259,11,vupload,莫斯科保卫者之歌,239,,,320,240,0,1020056
1477260,12,vupload,莫斯科郊外的晚上,236,,,320,240,0,1020056
1477261,13,vupload,莫斯科-北京,246,,,320,240,0,1020056
1475838,14,vupload,永恒的火,165,,,384,288,0,1020056
1475878,15,vupload,喀秋莎,166,,,512,288,0,1020056
1477262,16,vupload,草原啊草原(WOT泥垢,153,,,512,288,0,1020056
1475842,17,vupload,你是我的希望，你是我的欢乐,212,,,480,360,0,1020056
810094,18,vupload,祖国进行曲,241,,,360,288,0,1020056
1475844,19,vupload,列宁山,197,,,320,240,0,1020056
1477263,20,vupload,出发,141,,,320,240,0,1020056
1477264,21,vupload,海港之夜,311,,,320,240,0,1020056
1475849,22,vupload,哥萨克奔赴多瑙河,182,,,448,336,0,1020056
1477265,23,vupload,红莓花儿开,158,,,320,240,0,1020056
1477266,24,vupload,歌唱动荡的青春,214,,,320,240,0,1020056
1475854,1,vupload,,156,,,638,360,0,1020058
1475826,1,vupload,P1,224,,,640,360,0,1020054
1475864,1,vupload,,1966,,,0,0,0,1020066
1475863,1,vupload,,235,,,512,288,0,1020065
1475856,1,vupload,原画质,838,,,640,360,0,1020060
1475857,2,vupload,压制,358,,,640,360,0,1020060
1475862,1,vupload,,3748,,,512,288,0,1020064
1475865,1,vupload,,96,,,640,360,0,1020067
3879629,1,vupload,,1770,,,640,360,0,1020074
1475876,1,vupload,,92,,,448,336,0,1020077
1475871,1,vupload,,332,,,480,360,0,1020071
1476127,1,vupload,1,1292,,,640,360,0,1020072
1476420,1,vupload,音质超清版,320,,,0,0,0,1020078
1475887,1,vupload,1,623,,,640,360,0,1020087
1475888,2,vupload,2,683,,,640,360,0,1020087
1475882,1,vupload,,2352,,,638,360,0,1020083
1475893,1,vupload,,146,,,640,360,0,1020092
1475898,1,vupload,1,2022,,,448,336,0,1020097
1475899,2,vupload,2,1446,,,448,336,0,1020097
1475900,3,vupload,3,1557,,,448,336,0,1020097
1475896,1,vupload,3,1258,,,448,336,0,1020093
1475891,1,vupload,,188,,,640,480,0,1020090
1475902,1,vupload,KOFXIII CLIMAX for NESiCAxLive 録画対戦会,4971,,,448,336,0,1020100
1475903,2,vupload,BBCP v1.10 稼動初日対戦会,3435,,,512,288,0,1020100
1475907,1,vupload,El Fuerte no Necesita Red Focus,79,,,638,360,0,1020104
1475918,1,vupload,p1,191,,,490,360,0,1020116
1475919,2,vupload,抽风的P2,89,,,480,360,0,1020116
1475914,1,vupload,,509,,,640,360,0,1020112
1475928,1,vupload,,1119,,,640,360,0,1020125
1475931,1,vupload,,4702,,,638,360,0,1020128
1475930,1,vupload,,668,,,640,360,0,1020127
1475925,1,vupload,B,1762,,,638,360,0,1020122
1475927,1,vupload,,278,,,638,360,0,1020123
1475937,1,vupload,,0,,,1104,622,0,1020133
1475936,1,vupload,,2507,,,320,484,0,1020132
1475940,1,vupload,making,353,,,1024,576,0,1020137
1476118,2,vupload,gift,106,,,1024,576,0,1020137
