rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
13603367,1100008,1,2076324,0,0,0,0,0,2,0,0,0,1399320256,0,0,"{'message': '(&quot;▔□▔)/', 'plat': 0, 'device': ''}",,0,False,1100008
13521224,1100008,1,891025,0,0,0,0,0,1,0,0,0,1399090441,0,0,"{'message': '帮你增加评论', 'plat': 0, 'device': ''}",,0,False,1100008
18073261,1100000,1,5010849,0,0,0,3,3,32,0,0,0,1409302714,78,0,"{'message': '看 up主空间时请注意保护眼睛', 'plat': 0, 'device': ''}",,0,False,1100000
14638776,1100000,1,495428,0,0,0,0,0,30,0,0,0,1402295424,44,0,"{'message': '这AV号怎么那么神奇、、、(ﾟДﾟ≡ﾟдﾟ)!?', 'plat': 0, 'device': ''}",,0,False,1100000
1919646849,1100000,1,353916586,0,0,0,3,3,43,0,0,0,1567076727,18,0,"{'message': '我发现这个up的名字有含义[阴险]', 'plat': 0, 'device': ''}",,0,False,1100000
3372240811,1100006,1,363238352,0,0,0,0,0,2,0,0,0,1597799126,0,0,"{'message': '闲着没事搜AV[doge]', 'plat': 0, 'device': ''}",,0,False,1100006
1346118884,1100006,1,292852506,0,0,0,0,0,1,0,0,0,1548937164,0,0,"{'message': '考古', 'plat': 0, 'device': ''}",,0,False,1100006
13600684,1100012,1,2302337,0,0,0,1,1,2,0,0,0,1399304488,0,0,"{'message': ""I'm 3 years old√ 【妈蛋追着看你视频不感动吗(｡･ω･｡) "", 'plat': 0, 'device': ''}",,0,False,1100012
13522767,1100012,1,2302337,0,0,0,1,1,1,0,0,0,1399092451,0,0,"{'message': '没错又是我(〜￣△￣)〜', 'plat': 0, 'device': ''}",,0,False,1100012
41095150,1100013,1,2816539,0,0,0,0,0,1,0,0,0,1441976983,0,0,"{'message': '边打边跑当然过不去', 'plat': 0, 'device': ''}",,0,False,1100013
13570970,1100017,1,47125,0,0,0,0,0,3,0,0,0,1399211424,1,0,"{'message': '千古老坟  这简介 也是够素质的', 'plat': 0, 'device': ''}",,0,False,1100017
13673426,1100017,1,374838,0,0,0,0,0,4,0,0,0,1399574618,0,0,"{'message': '好像撞了吧。。。', 'plat': 0, 'device': ''}",,0,False,1100017
13531571,1100017,1,104063,0,0,0,0,0,2,0,0,0,1399105608,0,0,"{'message': '千古巨坟还不全，尼玛！', 'plat': 0, 'device': ''}",,0,False,1100017
85479504,1100027,1,9364744,0,0,0,0,0,1,2,0,0,1455866173,0,0,"{'message': '***……………', 'plat': 0, 'device': ''}",,0,False,1100027
