account,count,num,size,aid
324,259,1,3,1100868
1,1,1,3,1100872
1,1,1,3,1100871
2,2,1,3,1100875
4,4,1,3,1100870
1,1,1,3,1100884
2,2,1,3,1100880
3,2,1,3,1100887
1,1,1,3,1100893
61,30,1,3,1100898
6,4,1,3,1100895
31,22,1,3,1100901
1,1,1,3,1100905
0,0,1,3,1100903
0,0,1,3,1100902
1086,936,1,3,1100906
1,1,1,3,1100911
95,52,1,3,1100914
2,3,1,3,1100923
8,10,1,3,1100924
33,27,1,3,1100928
3,4,1,3,1100926
31,17,1,3,1100925
0,0,1,3,1100931
47,36,1,3,1100948
4,3,1,3,1100945
17,15,1,3,1100953
6,6,1,3,1100950
0,0,1,3,1100957
9,7,1,3,1100954
1,1,1,3,1100965
53,38,1,3,1100966
18,15,1,3,1100977
2,2,1,3,1100972
2,2,1,3,1100998
7,4,1,3,1100992
1,1,1,3,1100995
6,6,1,3,1101006
1,1,1,3,1101018
6,5,1,3,1101010
56,55,1,3,1101025
8,6,1,3,1101021
5,2,1,3,1101022
4,3,1,3,1101028
0,0,1,3,1101031
3,3,1,3,1101037
5,8,1,3,1101036
19,13,1,3,1101038
3,3,1,3,1101034
6,3,1,3,1101048
7,7,1,3,1101044
1,1,1,3,1101043
0,0,1,3,1101053
5,2,1,3,1101055
1,1,1,3,1101051
1,1,1,3,1101054
167,87,1,3,1101058
4,4,1,3,1101052
4,2,1,3,1101060
0,0,1,3,1101061
1,1,1,3,1101063
2,1,1,3,1101068
3,2,1,3,1101065
1,1,1,3,1101077
0,0,1,3,1101072
0,0,1,3,1101071
0,0,1,3,1101074
6,4,1,3,1101085
9,8,1,3,1101086
9,9,1,3,1101082
0,0,1,3,1101080
12,11,1,3,1101088
5,5,1,3,1101081
9,8,1,3,1101093
385,267,1,3,1101091
2,2,1,3,1101097
4,4,1,3,1101106
5,5,1,3,1101115
96,47,1,3,1101111
1,1,1,3,1101112
29,23,1,3,1101110
9,5,1,3,1101118
3,3,1,3,1101123
1,1,1,3,1101120
6,4,1,3,1101127
9,9,1,3,1101125
25,13,1,3,1101126
3,3,1,3,1101135
3,3,1,3,1101136
6,6,1,3,1101137
3,3,1,3,1101134
0,0,1,3,1101143
42,41,1,3,1101145
0,0,1,3,1101148
3,3,1,3,1101154
4,3,1,3,1101156
46,45,1,3,1101157
2,2,1,3,1101150
61,52,1,3,1101167
14,13,1,3,1101160
9,9,1,3,1101174
10,6,1,3,1101170
5,3,1,3,1101176
0,0,1,3,1101175
1,1,1,3,1101182
5,4,1,3,1101188
0,0,1,3,1101185
2,2,1,3,1101183
19,15,1,3,1101191
0,0,1,3,1101190
6,6,1,3,1101196
4,4,1,3,1101193
6,4,1,3,1101203
0,0,1,3,1101208
2,2,1,3,1101202
33,25,1,3,1101207
42,39,1,3,1101217
2,3,1,3,1101212
13,12,1,3,1101218
7,4,1,3,1101215
3,2,1,3,1101211
1,1,1,3,1101221
9,8,1,3,1101224
2,2,1,3,1101222
3,2,1,3,1101235
7,7,1,3,1101231
29,24,1,3,1101234
13,7,1,3,1101232
7,7,1,3,1101244
0,0,1,3,1101248
4,3,1,3,1101242
10,6,1,3,1101240
37,22,1,3,1101252
24,14,1,3,1101251
0,0,1,3,1101261
1,1,1,3,1101266
37,31,1,3,1101263
12,9,1,3,1101274
8,9,1,3,1101284
3,3,1,3,1101288
9,9,1,3,1101283
397,309,1,3,1101291
15,7,1,3,1101293
22,10,1,3,1101294
20,9,1,3,1101290
2,2,1,3,1101300
4,4,1,3,1101303
8,4,1,3,1101306
1,1,1,3,1101308
5,5,1,3,1101305
1,1,1,3,1101311
0,0,1,3,1101312
0,0,1,3,1101310
3,2,1,3,1101317
9,8,1,3,1101314
17,17,1,3,1101325
0,1,1,3,1101328
3,3,1,3,1101320
1,1,1,3,1101338
13,7,1,3,1101341
13,10,1,3,1101345
0,0,1,3,1101347
0,0,1,3,1101356
2,2,1,3,1101358
1,1,1,3,1101367
6,6,1,3,1101362
10,9,1,3,1101363
3,2,1,3,1101373
2,2,1,3,1101375
3,2,1,3,1101386
3,2,1,3,1101388
22,8,1,3,1101384
1,1,1,3,1101392
2,2,1,3,1101397
9,7,1,3,1101390
2,2,1,3,1101406
14,14,1,3,1101404
2,2,1,3,1101402
0,0,1,3,1101401
1,1,1,3,1101403
53,47,1,3,1101405
8,6,1,3,1101408
6,7,1,3,1101407
