related_video,aid
670288413,1070002
48516276,1070002
926767678,1070002
36016119,1070002
200097434,1070002
43604435,1070002
13524448,1070002
3492625,1070002
50720893,1070002
16233630,1070002
839536790,1070002
797087456,1070002
43509154,1070002
37074531,1070002
838186250,1070002
1375419,1070002
203820630,1070002
204518442,1070002
287171067,1070002
1080168,1070002
379372777,1070002
542579248,1070002
926385770,1070002
96220475,1070002
766165825,1070002
1096787,1070002
54560340,1070002
200994733,1070002
15088717,1070002
65619867,1070002
4808730,1070002
840412294,1070002
62213921,1070002
25583685,1070002
33572475,1070002
76856889,1070002
2075838,1070002
53742440,1070002
15272006,1070002
1126121,1070002
1000007,1070000
1069598,1070000
3274062,1070000
70035863,1070000
1967664,1070000
3886891,1070000
3248896,1070000
107001,1070000
1195914,1070000
1650,1070000
1700000,1070000
807986,1070000
45757597,1070000
31102350,1070000
39139005,1070000
297486555,1070000
998142,1070000
43992598,1070000
705777,1070000
570944,1070000
80655691,1070000
767361,1070000
3353102,1070000
735214,1070000
1041063,1070000
446119,1070000
1048813,1070000
495095,1070000
858905864,1070000
2581158,1070006
1833778,1070006
1864507,1070006
1045465,1070006
1109868,1070006
1816986,1070006
1831666,1070006
2549881,1070006
1075147,1070006
1042297,1070006
1110115,1070006
2323487,1070006
2332854,1070006
517266905,1070006
1050708,1070006
1685458,1070006
2325835,1070006
1219894,1070006
860510623,1070006
347038063,1070006
520112374,1070006
732193098,1070006
348178093,1070006
818120766,1070006
817981187,1070006
517294168,1070006
774217506,1070007
44371463,1070007
976896371,1070007
728525803,1070007
517552887,1070007
756925759,1070007
986460740,1070007
583588848,1070007
336997454,1070007
638860177,1070007
337045443,1070007
886592354,1070007
61271485,1070007
464464550,1070007
808224648,1070007
336354440,1070007
926850848,1070007
774659490,1070007
8383307,1070007
982232386,1070007
808975974,1070007
421253530,1070007
49911054,1070007
83630508,1070007
213540069,1070007
764695385,1070007
838351205,1070007
995248,1070007
597875507,1070007
22279745,1070007
27601475,1070007
89000473,1070007
760252747,1070007
848132269,1070007
683889045,1070007
251778280,1070007
8383187,1070007
11576418,1070007
457377162,1070007
896546541,1070007
77454780,1070004
717798366,1070004
71163156,1070004
370700366,1070004
840655273,1070004
768068253,1070004
285636070,1070004
547381879,1070004
838680718,1070004
70349887,1070004
51404905,1070004
893395822,1070004
545990423,1070004
926142041,1070004
800522838,1070004
717382586,1070004
668239143,1070004
19259150,1070004
837729712,1070004
45464765,1070004
840245099,1070004
886032343,1070004
19640076,1070004
16305756,1070004
547428608,1070004
38932416,1070004
724474657,1070004
252324369,1070004
53441415,1070004
80242892,1070004
42250828,1070004
86096250,1070004
43480083,1070004
590578031,1070004
85495860,1070004
505483323,1070004
53543258,1070004
207137093,1070004
336374414,1070004
206768011,1070004
34160851,1070010
45451284,1070010
33822659,1070010
646567,1070010
16452518,1070010
58054964,1070010
418539598,1070010
7967737,1070010
710603482,1070010
9134418,1070010
12582460,1070010
997991,1070010
11831015,1070010
12479059,1070010
75838787,1070010
766671225,1070010
840824124,1070010
18151306,1070010
26981636,1070010
43843070,1070010
11834124,1070010
41413068,1070010
16386651,1070010
518558,1070010
33132503,1070010
90773035,1070010
66717047,1070010
796019617,1070010
38250179,1070010
50305536,1070010
638744139,1070010
24923363,1070010
9138089,1070010
82139268,1070010
688322,1070010
34160202,1070010
358219,1070010
30978165,1070010
613429,1070010
26506464,1070010
901328538,1070014
604795197,1070014
23875255,1070014
27312639,1070014
987560311,1070014
28108327,1070014
25580475,1070014
13159890,1070014
20181659,1070014
563253068,1070014
8529116,1070014
24953961,1070014
15664947,1070014
605722436,1070014
818278766,1070014
732367249,1070014
305817023,1070014
561337810,1070014
648338397,1070014
475722570,1070014
40876686,1070014
390297193,1070014
518334450,1070014
943276218,1070014
775753195,1070014
387218794,1070014
690339178,1070014
343948055,1070014
818342683,1070014
733336193,1070014
518341126,1070014
689838358,1070014
688525010,1070014
860037898,1070014
988230720,1070014
