rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
480551643,1070002,1,10983583,0,0,0,1,1,41,0,0,0,1510673539,19,0,"{'message': '老物了，好听', 'plat': 0, 'device': ''}",,0,False,1070002
30278365,1070002,1,91799,0,0,0,0,0,37,0,0,0,1430654362,4,0,"{'message': '太赞了。。', 'plat': 0, 'device': ''}",,0,False,1070002
1258179711,1070002,1,3385904,0,0,0,0,0,42,0,0,0,1545631282,2,0,"{'message': '哇！终于看到钢兵唱这首了！', 'plat': 0, 'device': ''}",,0,False,1070002
2969715034,1070000,1,396017645,0,0,0,0,0,7,0,0,0,1590835526,0,0,"{'message': '一万倍av107最终鬼畜二小姐', 'plat': 0, 'device': ''}",,0,False,1070000
246515228,1070000,1,26029812,0,0,0,0,0,6,0,0,0,1493432135,0,0,"{'message': '(ﾟДﾟ≡ﾟдﾟ)!?', 'plat': 0, 'device': ''}",,0,False,1070000
20772847,1070000,1,925041,0,0,0,1,1,5,0,0,0,1415043876,0,0,"{'message': '我是来看一万倍最终鬼畜二小姐的……', 'plat': 0, 'device': ''}",,0,False,1070000
119786754,1070006,1,23361899,0,0,0,0,0,16,0,0,0,1469038006,2,0,"{'message': 'up是人才', 'plat': 0, 'device': ''}",,0,False,1070006
14434219,1070006,1,3542634,0,0,0,0,0,12,0,0,0,1401781334,2,0,"{'message': '计数君辛苦了', 'plat': 0, 'device': ''}",,0,False,1070006
182771575,1070006,1,40029351,0,0,0,0,0,18,6,0,4,1483850533,1,0,"{'message': '空白永不败北。', 'plat': 0, 'device': ''}",,0,False,1070006
13204254,1070007,1,501616,0,0,0,0,0,5,0,0,0,1398253921,3,0,"{'message': 'wp优化比安卓好太多', 'plat': 0, 'device': ''}",,0,False,1070007
279529086,1070007,1,8230384,0,0,0,0,0,8,0,0,0,1496938706,0,0,"{'message': '1520白色可以涂啊', 'plat': 0, 'device': ''}",,0,False,1070007
144826529,1070007,1,18970318,0,0,0,0,0,7,0,0,0,1474269308,0,0,"{'message': '我就想知道怎么买', 'plat': 0, 'device': ''}",,0,False,1070007
3813946337,1070004,1,39410401,0,0,0,2,2,4,0,0,0,1607868343,3,0,"{'message': 'RESPECT RESPECT', 'plat': 0, 'device': ''}",,0,False,1070004
