tag_id,tag_name,cover,head_cover,content,short_content,type,state,ctime,count,is_atten,likes,hates,attribute,liked,hated,extra_attr,music_id,tag_type,is_activity,color,alpha,is_season,subscribed_count,archive_count,featured_count,jump_url,aid
582265,玛依拉MAIRA,http://i0.hdslb.com/bfs/tag/4eec444eecc71096d9a91a5a91e28b931bb0ab34.jpg,,,,0,0,1436866637,"{'view': 0, 'use': 11, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240004
575574,真渣组,,,,,0,0,1436866637,"{'view': 0, 'use': 4, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240004
4409,教官,,,,,0,0,1436866637,"{'view': 0, 'use': 4270, 'atten': 195}",0,0,0,0,0,0,0,,old_channel,False,,0,False,195,-,0,,1240004
23292,ACG音乐,http://i0.hdslb.com/bfs/archive/103d4c32e134654e93bdd976933fe2874516a172.jpg,http://i0.hdslb.com/bfs/archive/2bd98de8e6fe0af41d9ca264a8e10b087e365ef6.jpg,ACG音乐相关,ACG音乐相关,3,0,1436866637,"{'view': 0, 'use': 427270, 'atten': 54901}",0,0,0,0,0,0,0,,old_channel,False,,0,False,54901,-,0,,1240015
4685,好想告诉你,http://i0.hdslb.com/bfs/tag/611cab02bc66c0f758918f02b47451660655c5e6.jpg,,"传说中的“贞子”浓黑的长发，就算是在盛夏也惨白的皮肤，阴沉的脸，连笑容都让人感到恐惧，只要与她对视3秒就会石化。更不用说接近她，令人发毛的阴森感。就是她——黑沼爽子，一个早已经被遗忘的名字，被大家称做“贞子”的女生，从小学到高中都是如此。几乎没有人知道她的本名，天天都被人害怕着。其实，她只是阴沉了一点点而已，只是而已啦。笑起来有点恐怖，周围的空气流动比较诡异点而已。

《好想告诉你》是日本漫画家椎名轻穗创作的一部少女漫画，在集英社旗下的漫画杂志《别册玛格丽特》上连载。2008年获得宝岛社“这本漫画真厉害！”奖少女系作品第一名、讲谈社漫画赏少女部门赏。TV动画的第一季于2009年10月放送，第二季于2011年1月放送。作品还被改编为AVG游戏。",,3,0,1436866637,"{'view': 0, 'use': 2384, 'atten': 118}",0,0,0,0,0,0,0,,old_channel,False,,0,False,118,-,0,,1240015
530,OP,,,,,3,0,1436866637,"{'view': 0, 'use': 251220, 'atten': 91875}",0,0,0,0,0,0,0,,old_channel,False,,0,False,91875,-,0,,1240015
101291,黑沼爽子,,,,,0,0,1436866637,"{'view': 0, 'use': 138, 'atten': 3}",0,0,0,0,0,0,0,,old_channel,False,,0,False,3,-,0,,1240015
33975,风早翔太,,,,,0,0,1436866637,"{'view': 0, 'use': 154, 'atten': 5}",0,0,0,0,0,0,0,,old_channel,False,,0,False,5,-,0,,1240015
242864,300英雄,http://i0.hdslb.com/bfs/tag/83eea7fb4d28ff827269841942c0ed7307055fd4.png,http://i0.hdslb.com/bfs/tag/8439e4fbf60a86c0586faa0b5f368c5ff7d83625.jpg,《300英雄》是由上海跳跃网络科技有限公司自主研发，深圳中青宝互动网络股份有限公司运营的一款类DOTA网游。《300 英雄》中的英雄以二次元世界中的各种超人气动漫角色为主，玩家可打破次元界限，穿越于无限的二次元时空中，玩享受时下最精致刺激、趣味无穷的动漫娱乐狂欢盛宴。,,3,0,1436866637,"{'view': 0, 'use': 244265, 'atten': 43804}",0,0,0,0,0,0,0,,new_channel,False,#517ECA,60,False,43804,14.4万,48,,1240018
62526,电子竞技,http://i0.hdslb.com/bfs/archive/a2a72561d08920a244b789b76ebf09c40028e661.jpg,http://i0.hdslb.com/bfs/archive/6b9942efbef31dd77ed49c492af34a32950efbcf.png,电子竞技（Electronic Sports）就是电子游戏比赛达到“竞技”层面的体育项目。,,3,0,1436866637,"{'view': 0, 'use': 8797061, 'atten': 111740}",0,0,0,0,0,0,0,,old_channel,False,,0,False,111740,-,0,,1240018
673152,实况攻略,http://i0.hdslb.com/bfs/archive/07068dad9763fcd3df5d2483b629fe843f067e9e.jpg,http://i0.hdslb.com/bfs/archive/3d062e10b66f1a120600bb340c8eeac01ff4bc1f.jpg,游戏实况与攻略视频,,3,0,1436866637,"{'view': 0, 'use': 40086, 'atten': 25420}",0,0,0,0,0,0,0,,old_channel,False,,0,False,25420,-,0,,1240018
10881,机动战士高达,http://i0.hdslb.com/bfs/tag/eacb5039557edd138879b0553fa61c0f878a7045.jpg,,"机动战士（Mobile Suit）简称MS，其中Suit是Space Utility Instruments Tactical （战术泛用宇宙机动机械）的缩写（当然也有局地战用机型）。这是一种高约15~18米的巨大人形机动兵器（也有个别高到50m）。开发成人形是为了执行AMBAC机动，这对于宇宙中机器人的机动性及实战能力有较大提升；会被开发是因为米诺夫斯基粒子造成无线电波等远程控制失效，使得战斗不能赖导弹等制导武器，战斗必需在双方接近至有视界才能进行，而MS拥有高机动能力与强大的火力（万能吊臂般的双手使得MS的携行武装可轻易变更）、防护力与较高度的泛用能力，所以在高达的世界观中巨大的战舰并非是最具威胁的兵器，MS可以较轻易的击毁没有MS保护的战舰。
 
　　机动战士是日本真实系机器人系列动画《机动战士高达》的机器人角色的统称。而机动战士中的高达（GUNDAM）才是动画的主角代表性机器人。由于发音太囧，于是人们就叫它刚大木。
",,3,0,1436866637,"{'view': 0, 'use': 230098, 'atten': 7142}",0,0,0,0,0,0,0,,old_channel,False,,0,False,7142,-,0,,1240018
7160,实况解说,http://i0.hdslb.com/bfs/tag/36955b7e83ff9f5053cf23bd870d720a598c53aa.jpg,,,,3,0,1436866637,"{'view': 0, 'use': 2788253, 'atten': 26054}",0,0,0,0,0,0,0,,old_channel,False,,0,False,26054,-,0,,1240018
699781,对面玩家徒手拆高达,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240018
699554,强袭自由·,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240018
699557,【YOUTUBE奇趣精选】,,,,,0,0,1436866637,"{'view': 0, 'use': 3, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240027
516,初音未来,http://i0.hdslb.com/bfs/tag/ce93714b3d572d3864fba108c31f8b8425b88169.png,http://i0.hdslb.com/bfs/archive/b6dfb72aeea24109c799b81518b8aa7856373f85.jpg,,,3,0,1436866637,"{'view': 0, 'use': 204127, 'atten': 240629}",0,0,0,0,0,0,0,,new_channel,False,#67CFCC,60,False,240629,27.8万,875,,1240025
290,VOCALOID,http://i0.hdslb.com/bfs/tag/6f449cf463ab1af2953d2d9933aa589507341d66.png,http://i0.hdslb.com/bfs/tag/953e149d5e0a0bbe21cc86f8d57d5e2d336cf08c.jpg,VOCALOID是Yamaha所开发的电子音乐制作语音合成软件。输入音调和歌词，便可以合成为人类声音的歌声。,创造专属于你自己的虚拟偶像。,3,0,1436866637,"{'view': 0, 'use': 324411, 'atten': 249901}",0,0,0,0,0,0,0,,new_channel,False,#67CFCC,60,False,249901,48.5万,1494,,1240025
207892,虚拟歌手,http://i0.hdslb.com/bfs/tag/6270f3411a2554a7125bd0d590a93386bef816f5.png,http://i0.hdslb.com/bfs/tag/35de540dccb7e634decda64fc6d4bc0e9b10450a.jpg,,,3,0,1436866637,"{'view': 0, 'use': 38152, 'atten': 29151}",0,0,0,0,0,0,0,,new_channel,False,#67CFCC,60,False,29151,60.9万,3629,,1240025
4140,初音MIKU,http://i0.hdslb.com/sp/d3/d33782988c88928f231a134273f3765d_s.png,,初音未来（初音ミク/Hatsune Miku），是2007年8月31日由CRYPTON FUTURE MEDIA以Yamaha的VOCALOID系列语音合成程序为基础开发的音源库，音源数据资料采样于日本声优藤田咲，随着“初音未来”声库的发售，这种成功的营销方式大幅改变了电子音乐人对于音乐业的认知和整个行业的格局。在衍生文化现象后，初音未来可指代包装封面上的那位葱色头发的少女形象，还可指活跃在动画漫画中的“人气歌手”。,,3,0,1436866637,"{'view': 0, 'use': 207459, 'atten': 139065}",0,0,0,0,0,0,0,,old_channel,False,,0,False,139065,-,0,,1240025
673152,实况攻略,http://i0.hdslb.com/bfs/archive/07068dad9763fcd3df5d2483b629fe843f067e9e.jpg,http://i0.hdslb.com/bfs/archive/3d062e10b66f1a120600bb340c8eeac01ff4bc1f.jpg,游戏实况与攻略视频,,3,0,1436866637,"{'view': 0, 'use': 40086, 'atten': 25420}",0,0,0,0,0,0,0,,old_channel,False,,0,False,25420,-,0,,1240033
