related_video,aid
10713347,1080004
8129259,1080004
1065388,1080004
1129334,1080004
1088064,1080004
1074453,1080004
1085704,1080004
1085715,1080004
8055123,1080004
91726269,1080004
11566046,1080004
1110875,1080004
13545025,1080004
1060821,1080004
22686188,1080004
964432,1080004
90807153,1080004
6132619,1080004
1010762,1080004
1035943,1080004
13862270,1080004
1193339,1080004
64642259,1080004
83381493,1080004
1066617,1080004
1996,1080004
12372136,1080004
12368649,1080004
7251125,1080004
1385212,1080003
99496,1080003
4283865,1080003
1073994,1080003
997838,1080003
5095848,1080003
1082457,1080003
1084436,1080003
1933364,1080003
1081153,1080003
1078841,1080003
1552977,1080003
252634439,1080003
95095,1080003
1066505,1080003
1276902,1080003
675216182,1080003
1809097,1080003
1166449,1080003
55620201,1080003
19586486,1080003
392125,1080003
75709305,1080003
628473,1080003
7244122,1080003
60251554,1080003
753091,1080003
1080550,1080003
413395225,1080003
258763,1080003
23329062,1080003
885899,1080003
626178,1080003
750969,1080003
90701614,1080003
250637,1080003
794193,1080003
5981651,1080003
74933312,1080003
711175725,1080003
1203239,1080008
389812625,1080008
390131584,1080008
733017451,1080008
945142475,1080008
305592038,1080008
520191469,1080008
432927634,1080008
474984560,1080008
604700972,1080008
347737083,1080008
860612425,1080008
902744137,1080008
347227122,1080008
902307586,1080008
518007768,1080008
647371439,1080008
390152427,1080008
647135460,1080008
517977064,1080008
902130026,1080008
690484612,1080008
520224473,1080008
690465958,1080008
262909035,1080008
944624324,1080008
520100513,1080008
689549040,1080008
562745435,1080008
945386776,1080008
859860104,1080008
562894744,1080008
304982174,1080008
902392953,1080008
690463960,1080008
987339462,1080008
518008822,1080008
304543938,1080008
817850222,1080008
604671284,1080008
1151129,1080010
1408762,1080010
1121451,1080010
1091055,1080010
1115088,1080010
1111234,1080010
1097222,1080010
1112207,1080010
1223953,1080010
1080009,1080010
1742854,1080010
1144026,1080010
1283841,1080010
1059207,1080010
43665164,1080010
1170830,1080010
245977662,1080010
1065421,1080010
1291437,1080010
1119603,1080010
1208162,1080010
1063049,1080010
19525890,1080010
1315934,1080010
753549316,1080010
1610442,1080010
42398678,1080010
8207148,1080010
1234012,1080010
7747415,1080010
1567688,1080010
1217303,1080010
1969943,1080010
286103867,1080010
1612192,1080010
1149217,1080010
1166768,1080010
1370875,1080010
2354202,1080010
2217110,1080010
3308618,1080015
1085439,1080015
1091466,1080015
2453263,1080015
2586043,1080015
2611433,1080015
1321209,1080015
3158582,1080015
517241467,1080015
3723935,1080015
4547042,1080015
3723937,1080015
3579448,1080015
992827,1080015
942841,1080015
3093978,1080015
3230249,1080015
3609704,1080015
868791,1080015
2942393,1080015
3126693,1080015
3230227,1080015
3284759,1080015
5000200,1080015
3356694,1080015
5883193,1080015
2446026,1080015
3515240,1080015
3094136,1080015
3168806,1080015
2538879,1080015
3094105,1080015
3272884,1080015
6211426,1080015
4292947,1080015
5518231,1080015
4117604,1080015
845288,1080015
3321577,1080015
3609064,1080015
56484649,1080013
31282789,1080013
12289216,1080013
56654204,1080013
30809176,1080013
5984964,1080013
589560858,1080013
56646321,1080013
34648824,1080013
34971891,1080013
69822093,1080013
629828,1080013
233886,1080013
24401223,1080013
808569,1080013
28739955,1080013
3188684,1080013
3189230,1080013
2753884,1080013
24191173,1080013
611029,1080013
975970,1080013
28103888,1080013
22898908,1080013
253250523,1080013
20283288,1080013
455981523,1080013
738468,1080013
2338035,1080013
15746089,1080013
24424424,1080013
1150078,1080013
1157347,1080013
420105,1080013
21286,1080013
1611237,1080013
2052614,1080013
27235622,1080013
973292578,1080013
54239786,1080013
24412349,1080012
937944924,1080012
23524856,1080012
928846,1080012
838353,1080012
15852701,1080012
7394960,1080012
3027742,1080012
8452818,1080012
1009627,1080012
988616,1080012
290502862,1080012
28116205,1080012
1022955,1080012
90625857,1080012
525057,1080012
205334954,1080012
975590136,1080012
47537223,1080012
1029035,1080012
1899449,1080012
19313737,1080012
36706709,1080012
5343227,1080012
17852775,1080012
1353535,1080012
1544459,1080012
3459916,1080012
454200,1080012
2628648,1080012
17742771,1080012
68274225,1080012
180991,1080012
2250523,1080012
2620398,1080012
740134,1080012
2845336,1080012
5067785,1080012
38605033,1080012
2620071,1080012
648168241,1080025
987850816,1080025
733231589,1080025
48779655,1080025
1447620,1080025
137276,1080025
