View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1561765,1,vupload,,267,,,638,360,0,1080004
1561764,1,vupload,,1378,,,512,288,0,1080003
1561769,1,vupload,,172,,,640,360,0,1080008
1561771,1,vupload,,2283,,,638,360,0,1080010
1561781,1,vupload,Kao TV! Ultra Street Fighter 4 7 2014.4.,2487,,,512,288,0,1080015
1561775,1,vupload,,3469,,,240,320,0,1080013
1561774,1,vupload,,540,,,640,360,0,1080012
1561792,1,vupload,,60,,,640,360,0,1080025
1561789,1,vupload,,661,,,450,360,0,1080023
1561920,1,vupload,,313,,,640,360,0,1080022
1561795,1,vupload,,90,,,640,360,0,1080028
1561799,1,vupload,,825,,,638,360,0,1080031
1561805,1,vupload,,1641,,,462,360,0,1080037
1561807,1,vupload,,375,,,638,360,0,1080032
1561802,1,vupload,,0,,,960,712,0,1080034
1561811,1,vupload,,649,,,638,360,0,1080041
1561812,1,vupload,P1,256,,,640,360,0,1080042
1561813,2,vupload,P2,102,,,640,360,0,1080042
1561819,1,vupload,,17,,,352,288,0,1080046
1561829,1,vupload,,836,,,640,360,0,1080052
1561827,1,vupload,,223,,,638,360,0,1080050
1561605,1,vupload,,1081,,,512,288,0,1080058
1561834,1,vupload,,268,,,640,360,0,1080060
1561836,1,vupload,,111,,,320,240,0,1080062
1562924,1,vupload,,777,,,640,360,0,1080063
1561845,1,vupload,,1329,,,480,360,0,1080070
1561847,1,vupload,,652,,,640,360,0,1080072
1561880,1,vupload,,565,,,640,360,0,1080071
1561851,1,vupload,,1555,,,544,272,0,1080077
1561767,1,vupload,,98,,,480,360,0,1080075
1561852,1,vupload,,78,,,640,360,0,1080078
1561848,1,vupload,,0,,,1104,622,0,1080073
1561850,1,vupload,,225,,,638,360,0,1080076
1561859,1,vupload,,57,,,480,360,0,1080086
1561801,1,vupload,,1162,,,540,360,0,1080080
1561860,1,vupload,,2194,,,638,360,0,1080087
1561855,1,vupload,,216,,,540,360,0,1080082
1561868,1,vupload,,250,,,640,360,0,1080095
1561863,1,vupload,,42,,,204,360,0,1080090
1561871,1,vupload,,98,,,636,360,0,1080097
2048094,1,vupload,,558,,,640,360,0,1080098
1561879,1,vupload,,377,,,640,360,0,1080105
1561878,1,vupload,,130,,,640,360,0,1080106
1561882,1,vupload,,898,,,512,288,0,1080108
1561876,1,vupload,,209,,,640,360,0,1080102
1561881,1,vupload,,232,,,640,360,0,1080107
1561874,1,vupload,,3131,,,576,360,0,1080100
1561877,1,vupload,,332,,,576,360,0,1080103
1562422,1,vupload,,260,,,640,360,0,1080104
1564273,1,vupload,,884,,,640,360,0,1080117
1561884,1,vupload,,1410,,,480,360,0,1080110
1561890,1,vupload,,627,,,640,360,0,1080113
1561885,1,vupload,,93,,,1280,720,0,1080111
1568828,1,vupload,,335,,,640,360,0,1080126
1561900,1,vupload,,273,,,480,360,0,1080125
1561901,1,vupload,,461,,,640,360,0,1080121
1561904,1,vupload,,1704,,,480,360,0,1080128
1561903,1,vupload,,291,,,636,360,0,1080127
1561916,1,vupload,,279,,,640,360,0,1080131
