rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
2410742248,1080004,1,290417078,0,0,0,0,0,7,0,0,0,1582364445,0,0,"{'message': '考古[doge][doge][doge]', 'plat': 0, 'device': ''}",,0,False,1080004
13214850,1080004,1,1878053,0,0,0,0,0,6,0,0,0,1398300400,0,0,"{'message': '（￣▽￣）', 'plat': 0, 'device': ''}",,0,False,1080004
13213694,1080004,1,20200,0,0,0,0,0,5,0,0,0,1398280290,0,0,"{'message': '(°∀°)ﾉ不是免费一天，而是从1点开始24小时内下载后就永久归你所有', 'plat': 0, 'device': ''}",,0,False,1080004
1004421062,1080003,1,179109852,0,0,0,0,0,13,0,0,0,1534567320,0,0,"{'message': '又是我(=・ω・=)', 'plat': 0, 'device': ''}",,0,False,1080003
478591622,1080003,1,52872756,0,0,0,0,0,12,0,0,0,1510491629,0,0,"{'message': '挖坟！[小电视_笑]', 'plat': 0, 'device': ''}",,0,False,1080003
13215296,1080003,1,2600341,0,0,0,0,0,11,0,0,0,1398303363,0,0,"{'message': '(´；ω；`)', 'plat': 0, 'device': ''}",,0,False,1080003
15838678,1080008,1,2709504,0,0,0,0,0,2,0,0,0,1405496666,1,0,"{'message': '(ﾟДﾟ≡ﾟдﾟ', 'plat': 0, 'device': ''}",,0,False,1080008
15369542,1080008,1,4772655,0,0,0,0,0,1,0,0,0,1404539142,0,0,"{'message': '碉堡了啊', 'plat': 0, 'device': ''}",,0,False,1080008
13853974,1080010,1,1656273,0,0,0,0,0,2,0,0,0,1400082830,0,0,"{'message': '(｀・ω・´)来补番', 'plat': 0, 'device': ''}",,0,False,1080010
13204826,1080010,1,3937390,0,0,0,0,0,1,0,0,0,1398255181,0,0,"{'message': '╮(￣▽￣)╭', 'plat': 0, 'device': ''}",,0,False,1080010
13205544,1080015,1,462023,0,0,0,1,1,1,0,0,0,1398256760,0,0,"{'message': '雨果好评...', 'plat': 0, 'device': ''}",,0,False,1080015
13221609,1080013,1,49730,0,0,0,1,1,1,0,0,0,1398323909,1,0,"{'message': '这是某条Noel不存在的世界线吧。。。椿真是太苦逼了。。。', 'plat': 0, 'device': ''}",,0,False,1080013
1364688507,1080013,1,5028217,0,0,0,0,0,2,0,0,0,1549462126,0,0,"{'message': '椿 死掉时的bgm是什么来着 这么属性', 'plat': 0, 'device': ''}",,0,False,1080013
98374875,1080012,1,14123452,0,0,0,0,0,4,0,0,0,1462031587,0,0,"{'message': '跳的很棒！非常还原！！特别喜欢~', 'plat': 0, 'device': ''}",,0,False,1080012
13275384,1080012,1,3248685,0,0,0,0,0,3,0,0,0,1398478517,0,0,"{'message': '(*^ω^*)', 'plat': 0, 'device': ''}",,0,False,1080012
13213953,1080012,1,302444,0,0,0,0,0,2,0,0,0,1398285389,0,0,"{'message': '本家→av1029035  翻跳好棒!硬币伺候!', 'plat': 0, 'device': ''}",,0,False,1080012
4052780013,1080025,1,1908417453,0,0,0,1,1,1,0,0,0,1612375869,0,0,"{'message': 'Az，随便一搜AV号就蹦出来了，没有人？那给个三连吧', 'plat': 0, 'device': ''}",,0,False,1080025
13206897,1080023,1,1622836,0,0,0,0,0,1,0,0,0,1398259460,1,0,"{'message': '(¬_¬)', 'plat': 0, 'device': ''}",,0,False,1080023
15293864,1080023,1,755297,0,0,0,2,2,9,0,0,0,1404358954,0,0,"{'message': '...封面是啥...', 'plat': 0, 'device': ''}",,0,False,1080023
13426573,1080023,1,164201,0,0,0,0,0,8,0,0,0,1398868345,0,0,"{'message': '那是因为其实这部动画的真正名字是脑积水儿子和脑萎缩爸爸（摘自超有病）', 'plat': 0, 'device': ''}",,0,False,1080023
146902285,1080022,1,939860,0,0,0,0,0,12,0,0,0,1474889814,0,0,"{'message': 'ε=ε=(ノ≧∇≦)ノ', 'plat': 0, 'device': ''}",,0,False,1080022
34703114,1080022,1,8851042,0,0,0,0,0,11,0,0,0,1436553454,0,0,"{'message': '好棒好棒！！！', 'plat': 0, 'device': ''}",,0,False,1080022
13603643,1080022,1,283786,0,0,0,0,0,10,0,0,0,1399327472,0,0,"{'message': '还没来得及补完超PA 发现了好多好久没出新作的家伙啊啊啊', 'plat': 0, 'device': ''}",,0,False,1080022
14523367,1080028,1,1647862,0,0,0,0,0,33,0,0,0,1402037446,2,0,"{'message': '一直卡在5秒。。。我去', 'plat': 0, 'device': ''}",,0,False,1080028
95951414528,1080028,1,20664285,0,0,0,0,0,51,0,0,0,1640096007,1,0,"{'message': '总是转瞬即逝', 'plat': 0, 'device': ''}",,0,False,1080028
