View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1519329,1,vupload,,312,,,640,360,0,1050003
1519337,1,vupload,,1952,,,638,360,0,1050008
1519328,1,vupload,,392,,,638,360,0,1050002
1519327,1,vupload,,281,,,540,360,0,1050001
1519331,1,vupload,,1160,,,638,360,0,1050005
1519342,1,vupload,,132,,,640,360,0,1050013
1519347,1,vupload,,1184,,,512,288,0,1050018
1519343,1,vupload,,1429,,,512,288,0,1050014
72956629,1,vupload,Enrico Caruso - Over There_标清,171,,,320,240,0,1050011
1519344,1,vupload,,359,,,1280,720,0,1050015
1519357,1,vupload,,209,,,480,360,0,1050025
1519349,1,vupload,,325,,,1280,720,0,1050021
1519365,1,vupload,,117,,,576,432,0,1050030
1519370,1,vupload,,97,,,640,360,0,1050035
1519366,1,vupload,,2151,,,576,360,0,1050031
1519367,1,vupload,,702,,,638,360,0,1050032
1519368,1,vupload,P1,110,,,480,360,0,1050033
1519369,1,vupload,,368,,,640,360,0,1050034
1519385,1,vupload,,100,,,640,360,0,1050047
1519379,1,vupload,,4101,,,512,288,0,1050041
33743838,1,vupload,Part1（新）,1124,,,720,576,0,1050043
33743839,2,vupload,Part2（新）,1189,,,720,576,0,1050043
1519383,1,vupload,,2584,,,0,0,0,1050045
1519391,1,vupload,,287,,,512,288,0,1050057
1520914,1,vupload,,48,,,640,360,0,1050052
1519392,1,vupload,,370,,,638,360,0,1050058
1519388,1,vupload,,326,,,854,480,0,1050051
1519399,1,vupload,,150,,,640,360,0,1050066
1519396,1,vupload,,183,,,512,288,0,1050062
1517668,1,vupload,,255,,,480,360,0,1050065
1519401,1,vupload,,284,,,640,360,0,1050068
1519395,1,vupload,,185,,,638,360,0,1050061
1519410,1,vupload,,300,,,638,360,0,1050076
1520836,1,vupload,,218,,,640,360,0,1050074
1519406,1,vupload,,2179,,,638,360,0,1050072
1519559,1,vupload,,95,,,640,360,0,1050071
1519412,1,vupload,,0,,,512,288,0,1050078
1519403,1,vupload,,242,,,640,360,0,1050070
1519411,1,vupload,,0,,,1104,622,0,1050077
1519416,1,vupload,,100,,,496,304,0,1050083
1519419,1,vupload,,376,,,640,360,0,1050086
1519421,1,vupload,,96,,,640,360,0,1050088
1519420,1,vupload,,1107,,,480,360,0,1050087
1519425,1,vupload,,1971,,,576,360,0,1050092
1519429,1,vupload,,282,,,640,360,0,1050096
1519431,1,vupload,中二花式里左轮,152,,,638,360,0,1050098
1530410,2,vupload,组曲33可FC,196,,,638,360,0,1050098
1530411,3,vupload,隐谱四速里白玫,150,,,638,360,0,1050098
1519438,1,vupload,,332,,,432,336,0,1050105
1519435,1,vupload,,114,,,508,360,0,1050100
1519436,1,vupload,,306,,,638,360,0,1050102
1519441,1,vupload,,363,,,640,360,0,1050108
1519449,1,vupload,№1,178,,,638,360,0,1050118
1519450,2,vupload,№2,166,,,638,360,0,1050118
1519451,3,vupload,№3,160,,,638,360,0,1050118
1481885,4,vupload,№4,186,,,638,360,0,1050118
1494338,5,vupload,№5,193,,,638,360,0,1050118
1512360,6,vupload,№6,219,,,638,360,0,1050118
1519448,1,vupload,,1214,,,480,360,0,1050117
1519454,1,vupload,,72,,,638,360,0,1050123
1520997,1,vupload,,96,,,640,360,0,1050121
1519453,1,vupload,,11,,,640,360,0,1050122
1519456,1,vupload,,151,,,412,360,0,1050125
1519457,1,vupload,,1180,,,640,360,0,1050126
1519467,1,vupload,,212,,,640,360,0,1050137
