rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
597347016,1050003,1,35672661,0,0,0,0,0,3,0,0,0,1516767972,1,0,"{'message': '这天是我生日了', 'plat': 0, 'device': ''}",,0,False,1050003
13067335,1050003,1,1290670,0,0,0,0,0,2,0,0,0,1397882300,1,0,"{'message': '什么意思', 'plat': 0, 'device': ''}",,0,False,1050003
12754226,1050003,1,167744,0,0,0,1,1,1,0,0,0,1396928212,1,0,"{'message': '这首歌叫什么来着=，=', 'plat': 0, 'device': ''}",,0,False,1050003
12755658,1050008,1,3033915,0,0,0,0,0,1,0,0,0,1396931685,0,0,"{'message': '→_→为什么不去务正业', 'plat': 0, 'device': ''}",,0,False,1050008
17579076,1050002,1,789130,0,0,0,0,0,7,0,0,0,1408543612,0,0,"{'message': '劫现在又改了，估计打法要变', 'plat': 0, 'device': ''}",,0,False,1050002
12759479,1050002,1,1171465,0,0,0,0,0,6,0,0,0,1396941431,0,0,"{'message': 'BGM是什么？', 'plat': 0, 'device': ''}",,0,False,1050002
12756057,1050002,1,211535,0,0,0,0,0,5,0,0,0,1396932265,0,0,"{'message': '大招范围这么远？', 'plat': 0, 'device': ''}",,0,False,1050002
104305739,1050001,1,4376144,0,0,0,0,0,2,0,0,0,1464441483,1,0,"{'message': '支持一下大轨迹(⌒▽⌒)', 'plat': 0, 'device': ''}",,0,False,1050001
197900755,1050001,1,13631237,0,0,0,0,0,3,0,0,0,1486307010,0,0,"{'message': '搜旋转茶杯就搜出了这个视频哈哈哈，up调得还可以，加油', 'plat': 0, 'device': ''}",,0,False,1050001
12730975,1050001,1,475893,0,0,0,2,2,1,0,0,0,1396856271,0,0,"{'message': '加油~调子好像没对上。。。', 'plat': 0, 'device': ''}",,0,False,1050001
747516103,1050005,1,299717384,0,0,0,0,0,3,0,0,0,1524513947,3,0,"{'message': '我的妈不看后悔啊！！宝藏!!!笑一年!我爱死他们了😂😂😂😭😭😭😂😂😭😭😂', 'plat': 0, 'device': ''}",,0,False,1050005
644629695,1050005,1,8072669,0,0,0,0,0,2,0,0,0,1519060682,2,0,"{'message': '！！！！这好磕到过分了！！萌死了！', 'plat': 0, 'device': ''}",,0,False,1050005
888268072,1050005,1,85648981,0,0,0,0,0,4,0,0,0,1531057990,1,0,"{'message': '卖萌卖得炉火纯青（比心）', 'plat': 0, 'device': ''}",,0,False,1050005
