account,count,num,size,aid
4,3,1,3,1050003
1,1,1,3,1050008
7,7,1,3,1050002
5,4,1,3,1050001
8,8,1,3,1050005
0,0,1,3,1050013
30,18,1,3,1050018
2,2,1,3,1050014
4,3,1,3,1050011
27,9,1,3,1050015
2,3,1,3,1050025
8,3,1,3,1050021
0,0,1,3,1050030
0,0,1,3,1050035
81,69,1,3,1050031
0,0,1,3,1050032
400,289,1,3,1050033
4,4,1,3,1050034
0,0,1,3,1050047
23,23,1,3,1050041
244,197,1,3,1050043
1,1,1,3,1050045
8,7,1,3,1050057
20,18,1,3,1050052
2,2,1,3,1050058
13,12,1,3,1050051
1,1,1,3,1050066
2,2,1,3,1050062
11,8,1,3,1050065
2,2,1,3,1050068
13,8,1,3,1050061
3,3,1,3,1050076
4,4,1,3,1050074
1,1,1,3,1050072
10,5,1,3,1050071
1,1,1,3,1050078
24,17,1,3,1050070
3,2,1,3,1050077
1,1,1,3,1050083
0,0,1,3,1050086
3,3,1,3,1050088
15,15,1,3,1050087
0,0,1,3,1050092
10,8,1,3,1050096
3,3,1,3,1050098
37,20,1,3,1050105
5,5,1,3,1050100
15,10,1,3,1050102
56,48,1,3,1050108
4,4,1,3,1050118
26,16,1,3,1050117
0,0,1,3,1050123
0,0,1,3,1050121
6,6,1,3,1050122
3,2,1,3,1050125
63,54,1,3,1050126
87,63,1,3,1050137
5,5,1,3,1050135
13,10,1,3,1050134
10,8,1,3,1050138
2,2,1,3,1050136
3,3,1,3,1050146
9,7,1,3,1050144
25,14,1,3,1050143
189,94,1,3,1050151
9,9,1,3,1050155
183,168,1,3,1050160
11,7,1,3,1050173
3,2,1,3,1050171
781,511,1,3,1050172
2,2,1,3,1050177
6,5,1,3,1050178
1,1,1,3,1050183
0,0,1,3,1050188
53,33,1,3,1050181
7,4,1,3,1050193
0,0,1,3,1050197
6,6,1,3,1050195
7,5,1,3,1050206
5,3,1,3,1050202
15,15,1,3,1050208
22,21,1,3,1050218
0,0,1,3,1050215
6,2,1,3,1050211
0,0,1,3,1050224
12,10,1,3,1050222
6,5,1,3,1050223
1,1,1,3,1050225
6,5,1,3,1050220
0,0,1,3,1050226
2,2,1,3,1050238
2,2,1,3,1050242
59,44,1,3,1050244
1,1,1,3,1050252
30,21,1,3,1050256
0,0,1,3,1050262
2,2,1,3,1050263
3,1,1,3,1050260
4,4,1,3,1050264
0,0,1,3,1050272
0,0,1,3,1050276
2,2,1,3,1050271
0,0,1,3,1050285
9,8,1,3,1050284
1,1,1,3,1050290
16,11,1,3,1050295
5,2,1,3,1050296
25,25,1,3,1050297
8,7,1,3,1050293
2,2,1,3,1050301
136,109,1,3,1050307
6,6,1,3,1050306
35,34,1,3,1050318
