View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1505321,1,vupload,,493,,,640,360,0,1040007
1505318,1,vupload,,762,,,640,360,0,1040004
1505326,1,vupload,Sagat (Ryan Hart) vs Cammy (K-Brad),337,,,638,360,0,1040012
1505327,2,vupload,Sagat (Ryan Hart) vs Juri (Salt Face),240,,,638,360,0,1040012
1505325,1,vupload,,408,,,640,360,0,1040011
1505329,1,vupload,,81,,,320,240,0,1040014
1505324,1,vupload,金牌特辑,2799,,,640,360,0,1040010
1505333,1,vupload,,0,,,496,298,0,1040018
1505345,1,vupload,,91,,,640,360,0,1040028
1505334,1,vupload,,1564,,,640,360,0,1040021
1505337,1,vupload,Ren vs Cafeid Verna,675,,,638,360,0,1040023
1505338,2,vupload,Ren vs Cafeid Gutts,516,,,638,360,0,1040023
1505339,3,vupload,ON Haregoro vs Arubi,428,,,638,360,0,1040023
1505340,4,vupload,Frionel vs KouKou,522,,,638,360,0,1040023
1505336,1,vupload,,306,,,640,360,0,1040022
1505309,1,vupload,,390,,,640,360,0,1040025
1505341,1,vupload,,274,,,640,360,0,1040024
1505370,1,vupload,,184,,,854,480,0,1040036
1505348,1,vupload,1P:医生也要帮破案?,2652,,,512,288,0,1040030
1506534,2,vupload,2P:随处可见的布偶君,2643,,,512,288,0,1040030
1510353,3,vupload,3P:越来越清晰的事件线,2532,,,512,288,0,1040030
1510354,4,vupload,4P:神户线HE完结~,2037,,,512,288,0,1040030
1511229,5,vupload,5P:结局番外回收,2871,,,512,288,0,1040030
1505350,1,vupload,,210,,,640,360,0,1040032
1505351,1,vupload,,133,,,480,360,0,1040033
1505375,1,vupload,,1845,,,448,336,0,1040040
1505376,1,vupload,,826,,,640,360,0,1040041
1505384,1,vupload,,1543,,,576,432,0,1040046
1505377,1,vupload,,0,,,1104,622,0,1040042
1505392,1,vupload,,173,,,640,360,0,1040051
1505397,1,vupload,,1821,,,560,434,0,1040057
1505398,1,vupload,,101,,,576,432,0,1040058
1505395,1,vupload,,54,,,600,360,0,1040054
1506687,1,vupload,,539,,,640,360,0,1040064
1505411,1,vupload,,160,,,640,360,0,1040067
1505405,1,vupload,,720,,,1280,720,0,1040061
1505412,1,vupload,BaldrSky中文版 二周目01 觉醒p1,730,,,480,360,0,1040068
1505413,2,vupload,BaldrSky中文版 二周目01 觉醒p2,1253,,,448,336,0,1040068
1505406,1,vupload,,4426,,,640,360,0,1040062
1505436,1,vupload,,30,,,480,360,0,1040077
1505435,1,vupload,,201,,,638,360,0,1040076
1505433,1,vupload,P1,250,,,640,360,0,1040074
1505428,1,vupload,,0,,,512,288,0,1040070
1505431,1,vupload,上,3782,,,638,360,0,1040073
1505432,2,vupload,下,4126,,,638,360,0,1040073
1505438,1,vupload,,105,,,636,360,0,1040080
1505445,1,vupload,,484,,,640,360,0,1040088
1505440,1,vupload,,203,,,640,360,0,1040082
1505439,1,vupload,,4208,,,576,360,0,1040081
